account_id,received_cs_touch,is_pilot
acc_0145,1,0
acc_0146,0,0
acc_0147,0,0
acc_0148,1,0
acc_0149,0,0
acc_0150,0,0
acc_0151,1,0
acc_0152,0,0
acc_0153,0,0
acc_0154,1,0
acc_0155,1,0
acc_0156,0,0
acc_0157,1,0
acc_0158,0,0
acc_0159,0,0
acc_0160,1,0
acc_0161,0,0
acc_0162,1,0
acc_0163,0,0
acc_0164,0,0
acc_0165,0,0
acc_0166,1,0
acc_0167,0,0
acc_0168,0,0
acc_0169,0,0
acc_0170,0,0
acc_0171,1,0
acc_0172,0,0
acc_0173,1,1
acc_0174,0,0
acc_0175,1,0
acc_0176,1,1
acc_0177,0,0
acc_0178,0,0
acc_0179,0,0
acc_0180,0,0
acc_0181,0,0
acc_0182,1,1
acc_0183,1,0
acc_0184,1,0
acc_0185,1,0
acc_0186,0,0
acc_0187,0,0
acc_0188,1,0
acc_0189,0,0
acc_0190,1,0
acc_0191,0,0
acc_0192,1,0
acc_0193,0,1
acc_0194,1,0
acc_0195,0,0
acc_0196,0,0
acc_0197,1,0
acc_0198,1,0
acc_0199,0,0
acc_0200,1,1
acc_0201,0,0
acc_0202,0,0
acc_0203,0,0
acc_0204,0,0
acc_0205,1,1
acc_0206,0,1
acc_0207,0,1
acc_0208,1,0
acc_0209,0,0
acc_0210,1,0
acc_0211,1,0
acc_0212,0,0
acc_0213,1,0
acc_0214,0,0
acc_0215,0,0
acc_0216,1,0
acc_0217,1,1
acc_0218,1,0
acc_0219,0,0
acc_0220,1,0
acc_0221,1,0
acc_0222,0,0
acc_0223,0,0
acc_0224,0,1
acc_0225,0,0
acc_0226,0,0
acc_0227,0,0
acc_0228,1,0
acc_0229,0,0
acc_0230,1,0
acc_0231,1,0
acc_0232,1,0
acc_0233,0,0
acc_0234,0,0
acc_0235,1,0
acc_0236,1,0
acc_0237,0,0
acc_0238,0,0
acc_0239,1,1
acc_0240,0,0
acc_0241,0,0
acc_0242,1,0
acc_0243,1,0
acc_0244,1,0
acc_0245,1,0
acc_0246,0,0
acc_0247,0,0
acc_0248,0,0
acc_0249,0,0
acc_0250,1,0
acc_0251,1,0
acc_0252,0,0
acc_0253,0,0
acc_0254,1,0
acc_0255,0,0
acc_0256,1,0
acc_0257,1,0
acc_0258,0,0
acc_0259,0,1
acc_0260,1,0
acc_0261,0,0
acc_0262,0,0
acc_0263,1,0
acc_0264,1,0
acc_0265,1,1
acc_0266,1,0
acc_0267,0,0
acc_0268,0,0
acc_0269,1,0
acc_0270,0,0
acc_0271,1,0
acc_0272,0,0
acc_0273,1,0
acc_0274,1,0
acc_0275,1,0
acc_0276,1,0
acc_0277,0,0
acc_0278,0,0
acc_0279,0,0
acc_0280,0,0
acc_0281,0,0
acc_0282,0,0
acc_0283,0,0
acc_0284,0,0
acc_0285,1,0
acc_0286,0,0
acc_0287,1,0
acc_0288,0,0
acc_0289,0,0
acc_0290,1,0
acc_0291,0,0
acc_0292,1,0
acc_0293,1,1
acc_0294,1,0
acc_0295,1,0
acc_0296,1,0
acc_0297,1,0
acc_0298,1,0
acc_0299,0,0
acc_0300,0,0
acc_0301,0,0
acc_0302,1,0
acc_0303,1,0
acc_0304,0,0
acc_0305,1,1
acc_0306,0,0
acc_0307,1,0
acc_0308,0,0
acc_0309,0,0
acc_0310,0,0
acc_0311,0,0
acc_0312,0,0
acc_0313,0,0
acc_0314,1,1
acc_0315,0,0
acc_0316,1,0
acc_0317,0,0
acc_0318,0,0
acc_0319,0,0
acc_0320,1,0
acc_0321,0,0
acc_0322,1,0
acc_0323,1,0
acc_0324,1,0
acc_0325,0,0
acc_0326,1,0
acc_0327,1,0
acc_0328,1,0
acc_0329,0,0
acc_0330,0,0
acc_0331,1,0
acc_0332,1,0
acc_0333,1,0
acc_0334,0,0
acc_0335,1,0
acc_0336,1,0
acc_0337,1,0
acc_0338,1,0
acc_0339,0,0
acc_0340,0,0
acc_0341,0,1
acc_0342,0,0
acc_0343,1,0
acc_0344,1,0
acc_0345,1,0
acc_0346,0,0
acc_0347,1,0
acc_0348,0,1
acc_0349,0,0
acc_0350,1,0
acc_0351,0,0
acc_0352,0,1
acc_0353,0,0
acc_0354,0,0
acc_0355,0,0
acc_0356,0,0
acc_0357,0,0
acc_0358,1,0
acc_0359,1,0
acc_0360,0,0
acc_0361,1,0
acc_0362,1,0
acc_0363,1,1
acc_0364,0,0
acc_0365,0,1
acc_0366,0,0
acc_0367,0,1
acc_0368,1,0
acc_0369,0,0
acc_0370,0,0
acc_0371,1,0
acc_0372,0,0
acc_0373,0,0
acc_0374,0,0
acc_0375,1,0
acc_0376,0,0
acc_0377,0,0
acc_0378,0,0
acc_0379,1,1
acc_0380,0,0
acc_0381,1,0
acc_0382,0,0
acc_0383,1,0
acc_0384,0,0
acc_0385,1,0
acc_0386,1,0
acc_0387,0,0
acc_0388,0,0
acc_0389,0,0
acc_0390,0,1
acc_0391,1,0
acc_0392,0,0
acc_0393,1,0
acc_0394,0,0
acc_0395,0,0
acc_0396,0,0
acc_0397,0,0
acc_0398,0,0
acc_0399,0,0
acc_0400,1,0
acc_0401,1,0
acc_0402,1,0
acc_0403,1,0
acc_0404,0,0
acc_0405,1,0
acc_0406,1,1
acc_0407,0,0
acc_0408,1,0
acc_0409,0,0
acc_0410,0,0
acc_0411,0,1
acc_0412,1,0
acc_0413,0,0
acc_0414,0,0
acc_0415,1,1
acc_0416,1,1
acc_0417,1,0
acc_0418,1,1
acc_0419,1,0
acc_0420,1,0
acc_0421,1,0
acc_0422,0,0
acc_0423,0,0
acc_0424,0,0
acc_0425,0,0
acc_0426,0,0
acc_0427,1,0
acc_0428,1,1
acc_0429,0,0
acc_0430,0,1
acc_0431,0,0
acc_0432,0,0
acc_0433,1,1
acc_0434,1,0
acc_0435,0,0
acc_0436,1,0
acc_0437,1,0
acc_0438,0,0
acc_0439,0,0
acc_0440,1,0
acc_0441,0,0
acc_0442,1,0
acc_0443,1,0
acc_0444,0,0
acc_0445,1,0
acc_0446,0,0
acc_0447,0,0
acc_0448,1,0
acc_0449,1,1
acc_0450,0,0
acc_0451,0,0
acc_0452,0,0
acc_0453,1,0
acc_0454,0,0
acc_0455,0,0
acc_0456,0,1
acc_0457,0,1
acc_0458,0,0
acc_0459,0,0
acc_0460,0,0
acc_0461,1,0
acc_0462,0,0
acc_0463,1,1
acc_0464,0,0
acc_0465,0,0
acc_0466,1,0
acc_0467,0,0
acc_0468,1,0
acc_0469,1,0
acc_0470,1,0
acc_0471,1,0
acc_0472,1,0
acc_0473,1,0
acc_0474,1,0
acc_0475,0,0
acc_0476,0,0
acc_0477,0,0
acc_0478,0,0
acc_0479,1,0
acc_0480,0,0
acc_0481,0,0
acc_0482,1,0
acc_0483,1,0
acc_0484,1,0
acc_0485,0,0
acc_0486,0,0
acc_0487,0,0
acc_0488,0,0
acc_0489,0,0
acc_0490,1,1
acc_0491,1,0
acc_0492,1,0
acc_0493,0,0
acc_0494,0,0
acc_0495,0,0
acc_0496,0,0
acc_0497,1,0
acc_0498,0,0
acc_0499,0,0
acc_0500,0,0
acc_0501,1,0
acc_0502,1,0
acc_0503,0,0
acc_0504,0,0
acc_0505,1,0
acc_0506,0,1
acc_0507,0,0
acc_0508,0,1
acc_0509,1,0
acc_0510,0,0
acc_0511,0,0
acc_0512,0,0
acc_0513,1,0
acc_0514,1,0
acc_0515,0,0
acc_0516,0,0
acc_0517,0,0
acc_0518,1,0
acc_0519,0,0
acc_0520,0,0
acc_0521,0,0
acc_0522,0,0
acc_0523,0,0
acc_0524,1,0
acc_0525,0,0
acc_0526,1,0
acc_0527,0,0
acc_0528,0,1
acc_0529,1,0
acc_0530,0,1
acc_0531,1,0
acc_0532,1,0
acc_0533,0,0
acc_0534,0,0
acc_0535,0,0
acc_0536,1,0
acc_0537,0,0
acc_0538,0,0
acc_0539,0,0
acc_0540,1,0
acc_0541,1,0
acc_0542,0,0
acc_0543,1,0
acc_0544,1,0
acc_0545,1,1
acc_0546,1,0
acc_0547,1,0
acc_0548,0,0
acc_0549,1,0
acc_0550,1,0
acc_0551,0,0
acc_0552,0,0
acc_0553,1,0
acc_0554,0,0
acc_0555,0,0
acc_0556,0,0
acc_0557,0,0
acc_0558,0,1
acc_0559,0,0
acc_0560,0,0
acc_0561,0,0
acc_0562,0,1
acc_0563,0,0
acc_0564,0,0
acc_0565,1,0
acc_0566,0,0
acc_0567,1,0
acc_0568,0,0
acc_0569,0,0
acc_0570,1,0
acc_0571,0,0
acc_0572,0,0
acc_0573,1,0
acc_0574,0,0
acc_0575,0,0
acc_0576,0,0
acc_0577,1,0
acc_0578,0,0
acc_0579,1,0
acc_0580,0,0
acc_0581,0,0
acc_0582,0,0
acc_0583,1,0
acc_0584,0,0
acc_0585,1,1
acc_0586,1,0
acc_0587,1,0
acc_0588,0,0
acc_0589,0,0
acc_0590,0,0
acc_0591,0,0
acc_0592,1,0
acc_0593,1,0
acc_0594,1,0
acc_0595,0,0
acc_0596,0,0
acc_0597,0,0
acc_0598,0,0
acc_0599,0,0
acc_0600,1,0
acc_0601,0,0
acc_0602,0,0
acc_0603,0,0
acc_0604,0,1
acc_0605,1,0
acc_0606,0,0
acc_0607,1,0
acc_0608,0,1
acc_0609,1,0
acc_0610,0,0
acc_0611,0,0
acc_0612,0,0
acc_0613,1,0
acc_0614,1,1
acc_0615,1,0
acc_0616,1,0
acc_0617,0,0
acc_0618,0,0
acc_0619,0,0
acc_0620,1,0
acc_0621,0,0
acc_0622,0,0
acc_0623,0,0
acc_0624,0,0
acc_0625,0,0
acc_0626,0,0
acc_0627,1,0
acc_0628,0,0
acc_0629,0,0
acc_0630,1,0
acc_0631,0,1
acc_0632,0,0
acc_0633,1,0
acc_0634,1,0
acc_0635,1,1
acc_0636,0,0
acc_0637,0,0
acc_0638,1,1
acc_0639,0,0
acc_0640,0,0
acc_0641,0,0
acc_0642,0,1
acc_0643,1,0
acc_0644,0,0
acc_0645,1,0
acc_0646,1,1
acc_0647,0,0
acc_0648,0,0
acc_0649,0,0
acc_0650,0,0
acc_0651,0,0
acc_0652,0,0
acc_0653,0,0
acc_0654,0,0
acc_0655,0,0
acc_0656,0,0
acc_0657,1,0
acc_0658,1,0
acc_0659,0,0
acc_0660,1,0
acc_0661,0,0
acc_0662,0,0
acc_0663,1,0
acc_0664,1,0
acc_0665,0,0
acc_0666,0,0
acc_0667,1,0
acc_0668,1,0
acc_0669,1,0
acc_0670,0,0
acc_0671,0,0
acc_0672,0,0
acc_0673,0,0
acc_0674,0,0
acc_0675,0,0
acc_0676,1,0
acc_0677,0,0
acc_0678,1,0
acc_0679,0,0
acc_0680,1,1
acc_0681,0,0
acc_0682,0,0
acc_0683,1,0
acc_0684,0,0
acc_0685,1,0
acc_0686,1,0
acc_0687,0,0
acc_0688,0,0
acc_0689,0,0
acc_0690,1,0
acc_0691,0,0
acc_0692,0,0
acc_0693,0,0
acc_0694,1,0
acc_0695,0,0
acc_0696,0,0
acc_0697,1,0
acc_0698,1,1
acc_0699,0,0
acc_0700,0,0
acc_0701,1,0
acc_0702,0,0
acc_0703,0,1
acc_0704,0,0
acc_0705,0,0
acc_0706,0,0
acc_0707,0,0
acc_0708,0,0
acc_0709,0,0
acc_0710,0,0
acc_0711,1,1
acc_0712,1,0
acc_0713,0,0
acc_0714,1,0
acc_0715,0,0
acc_0716,0,0
acc_0717,1,0
acc_0718,0,0
acc_0719,0,0
acc_0720,1,0
acc_0721,1,0
acc_0722,0,0
acc_0723,0,0
acc_0724,0,0
acc_0725,0,0
acc_0726,1,0
acc_0727,1,0
acc_0728,0,0
acc_0729,0,0
acc_0730,1,1
acc_0731,0,0
acc_0732,1,0
acc_0733,0,0
acc_0734,0,1
acc_0735,1,0
acc_0736,1,0
acc_0737,0,0
acc_0738,0,0
acc_0739,1,0
acc_0740,1,0
acc_0741,1,0
acc_0742,0,0
acc_0743,1,0
acc_0744,0,1
acc_0745,0,0
acc_0746,0,0
acc_0747,0,0
acc_0748,1,0
acc_0749,0,0
acc_0750,0,0
acc_0751,1,0
acc_0752,0,0
acc_0753,0,1
acc_0754,0,0
acc_0755,0,0
acc_0756,0,0
acc_0757,0,0
acc_0758,0,0
acc_0759,0,0
acc_0760,0,0
acc_0761,0,1
acc_0762,0,0
acc_0763,1,0
acc_0764,0,1
acc_0765,0,0
acc_0766,0,0
acc_0767,1,0
acc_0768,0,0
acc_0769,1,0
acc_0770,0,1
acc_0771,1,0
acc_0772,0,0
acc_0773,0,0
acc_0774,0,0
acc_0775,1,0
acc_0776,1,0
acc_0777,0,0
acc_0778,1,0
acc_0779,1,1
acc_0780,1,0
acc_0781,0,0
acc_0782,1,0
acc_0783,0,0
acc_0784,1,0
acc_0785,1,0
acc_0786,1,0
acc_0787,0,0
acc_0788,1,0
acc_0789,0,0
acc_0790,0,0
acc_0791,1,0
acc_0792,1,0
acc_0793,1,0
acc_0794,0,0
acc_0795,1,0
acc_0796,1,0
acc_0797,1,0
acc_0798,0,0
acc_0799,0,0
acc_0800,0,0
acc_0801,1,0
acc_0802,0,0
acc_0803,1,0
acc_0804,1,0
acc_0805,1,0
acc_0806,0,0
acc_0807,1,0
acc_0808,1,0
acc_0809,0,0
acc_0810,0,0
acc_0811,0,0
acc_0812,0,0
acc_0813,1,0
acc_0814,0,0
acc_0815,1,0
acc_0816,1,0
acc_0817,0,0
acc_0818,1,0
acc_0819,1,0
acc_0820,0,0
acc_0821,0,0
acc_0822,1,0
acc_0823,1,0
acc_0824,1,0
acc_0825,0,0
acc_0826,0,0
acc_0827,0,1
acc_0828,0,0
acc_0829,1,0
acc_0830,1,1
acc_0831,1,0
acc_0832,1,0
acc_0833,1,0
acc_0834,1,0
acc_0835,1,0
acc_0836,1,0
acc_0837,0,0
acc_0838,0,0
acc_0839,0,1
acc_0840,0,0
acc_0841,1,0
acc_0842,0,0
acc_0843,0,0
acc_0844,1,0
acc_0845,1,0
acc_0846,0,1
acc_0847,1,0
acc_0848,1,0
acc_0849,0,0
acc_0850,0,0
acc_0851,0,0
acc_0852,1,0
acc_0853,0,0
acc_0854,0,1
acc_0855,0,0
acc_0856,0,0
acc_0857,0,0
acc_0858,0,0
acc_0859,1,0
acc_0860,0,0
acc_0861,0,0
acc_0862,1,1
acc_0863,1,0
acc_0864,0,0
acc_0865,1,0
acc_0866,0,0
acc_0867,0,0
acc_0868,0,0
acc_0869,1,0
acc_0870,0,0
acc_0871,0,0
acc_0872,0,0
acc_0873,1,0
acc_0874,0,0
acc_0875,0,0
acc_0876,0,0
acc_0877,1,1
acc_0878,1,0
acc_0879,0,0
acc_0880,0,0
acc_0881,0,0
acc_0882,1,0
acc_0883,1,0
acc_0884,0,0
acc_0885,0,0
acc_0886,0,0
acc_0887,0,0
acc_0888,1,0
acc_0889,0,0
acc_0890,1,1
acc_0891,1,0
acc_0892,0,0
acc_0893,1,0
acc_0894,0,0
acc_0895,0,0
acc_0896,0,0
acc_0897,0,0
acc_0898,1,0
acc_0899,0,1
acc_0900,1,0
acc_0901,0,0
acc_0902,1,0
acc_0903,1,1
acc_0904,0,0
acc_0905,0,0
acc_0906,0,0
acc_0907,1,0
acc_0908,1,0
acc_0909,0,0
acc_0910,1,0
acc_0911,0,0
acc_0912,0,0
acc_0913,0,0
acc_0914,0,0
acc_0915,0,0
acc_0916,0,0
acc_0917,0,0
acc_0918,0,1
acc_0919,0,0
acc_0920,1,0
acc_0921,0,0
acc_0922,1,0
acc_0923,0,0
acc_0924,0,0
acc_0925,0,0
acc_0926,0,0
acc_0927,0,0
acc_0928,0,0
acc_0929,0,0
acc_0930,0,1
acc_0931,0,0
acc_0932,0,0
acc_0933,0,0
acc_0934,0,0
acc_0935,0,0
acc_0936,1,0
acc_0937,0,0
acc_0938,1,0
acc_0939,1,0
acc_0940,0,0
acc_0941,1,1
acc_0942,1,0
acc_0943,0,0
acc_0944,1,1
acc_0945,0,0
acc_0946,0,0
acc_0947,1,0
acc_0948,1,0
acc_0949,1,0
acc_0950,1,0
acc_0951,0,0
acc_0952,1,0
acc_0953,1,0
acc_0954,1,0
acc_0955,1,0
acc_0956,0,0
acc_0957,1,0
acc_0958,1,0
acc_0959,0,1
acc_0960,1,0
acc_0961,0,0
acc_0962,0,0
acc_0963,0,0
acc_0964,1,0
acc_0965,0,0
acc_0966,1,0
acc_0967,1,0
acc_0968,0,0
acc_0969,0,1
acc_0970,0,0
acc_0971,0,0
acc_0972,1,0
acc_0973,0,0
acc_0974,1,0
acc_0975,1,0
acc_0976,1,0
acc_0977,1,0
acc_0978,0,0
acc_0979,0,0
acc_0980,0,0
acc_0981,0,0
acc_0982,0,1
acc_0983,0,0
acc_0984,0,0
acc_0985,1,0
acc_0986,0,0
acc_0987,0,0
acc_0988,1,0
acc_0989,1,0
acc_0990,1,0
acc_0991,1,0
acc_0992,0,1
acc_0993,0,0
acc_0994,1,0
acc_0995,1,0
acc_0996,1,0
acc_0997,1,0
acc_0998,0,0
acc_0999,0,0
acc_1000,0,0
acc_1001,0,0
acc_1002,0,0
acc_1003,0,0
acc_1004,0,0
acc_1005,0,0
acc_1006,1,0
acc_1007,0,0
acc_1008,1,0
acc_1009,1,0
acc_1010,0,0
acc_1011,1,0
acc_1012,0,0
acc_1013,1,0
acc_1014,0,0
acc_1015,1,0
acc_1016,1,0
acc_1017,1,0
acc_1018,0,0
acc_1019,0,0
acc_1020,1,0
acc_1021,0,0
acc_1022,0,0
acc_1023,1,0
acc_1024,1,0
acc_1025,0,0
acc_1026,0,0
acc_1027,1,0
acc_1028,0,0
acc_1029,0,0
acc_1030,0,0
acc_1031,1,1
acc_1032,1,0
acc_1033,1,0
acc_1034,0,0
acc_1035,0,0
acc_1036,0,0
acc_1037,1,0
acc_1038,0,0
acc_1039,1,0
acc_1040,0,0
acc_1041,0,0
acc_1042,1,0
acc_1043,0,0
acc_1044,0,0
acc_1045,0,0
acc_1046,0,0
acc_1047,1,0
acc_1048,0,0
acc_1049,0,0
acc_1050,0,0
acc_1051,0,0
acc_1052,0,0
acc_1053,0,0
acc_1054,1,0
acc_1055,0,0
acc_1056,0,0
acc_1057,0,0
acc_1058,1,1
acc_1059,1,1
acc_1060,1,1
acc_1061,1,0
acc_1062,1,0
acc_1063,1,0
acc_1064,1,0
acc_1065,0,1
acc_1066,0,0
acc_1067,0,0
acc_1068,1,0
acc_1069,0,0
acc_1070,0,0
acc_1071,0,0
acc_1072,0,0
acc_1073,0,0
acc_1074,1,0
acc_1075,1,0
acc_1076,1,0
acc_1077,0,0
acc_1078,0,0
acc_1079,1,0
acc_1080,0,0
acc_1081,0,0
acc_1082,0,0
acc_1083,1,0
acc_1084,0,0
acc_1085,0,0
acc_1086,1,1
acc_1087,0,0
acc_1088,0,1
acc_1089,1,0
acc_1090,1,0
acc_1091,0,0
acc_1092,1,0
acc_1093,0,0
acc_1094,1,0
acc_1095,1,1
acc_1096,0,0
acc_1097,0,0
acc_1098,0,0
acc_1099,0,0
acc_1100,1,0
acc_1101,1,0
acc_1102,0,0
acc_1103,0,0
acc_1104,0,0
acc_1105,0,0
acc_1106,0,0
acc_1107,0,0
acc_1108,0,0
acc_1109,1,0
acc_1110,1,0
acc_1111,0,0
acc_1112,1,0
acc_1113,1,0
acc_1114,1,0
acc_1115,0,0
acc_1116,0,0
acc_1117,1,1
acc_1118,0,0
acc_1119,0,0
acc_1120,0,0
acc_1121,1,0
acc_1122,0,0
acc_1123,0,0
acc_1124,0,0
acc_1125,0,0
acc_1126,1,0
acc_1127,1,0
acc_1128,0,0
acc_1129,0,0
acc_1130,0,0
acc_1131,0,0
acc_1132,0,0
acc_1133,0,0
acc_1134,1,0
acc_1135,1,1
acc_1136,0,0
acc_1137,0,0
acc_1138,0,0
acc_1139,1,0
acc_1140,1,0
acc_1141,1,0
acc_1142,1,0
acc_1143,1,0
acc_1144,1,0
acc_1145,1,0
acc_1146,1,0
acc_1147,0,0
acc_1148,0,0
acc_1149,0,0
acc_1150,0,0
acc_1151,1,0
acc_1152,1,0
acc_1153,0,0
acc_1154,1,0
acc_1155,0,0
acc_1156,0,0
acc_1157,0,0
acc_1158,1,0
acc_1159,1,0
acc_1160,1,0
acc_1161,0,0
acc_1162,0,0
acc_1163,0,0
acc_1164,1,0
acc_1165,0,0
acc_1166,1,0
acc_1167,0,0
acc_1168,1,0
acc_1169,0,0
acc_1170,1,0
acc_1171,0,1
acc_1172,0,0
acc_1173,0,0
acc_1174,0,0
acc_1175,1,0
acc_1176,1,0
acc_1177,0,0
acc_1178,0,0
acc_1179,1,0
acc_1180,1,0
acc_1181,1,0
acc_1182,1,0
acc_1183,1,0
acc_1184,0,0
acc_1185,0,0
acc_1186,0,0
acc_1187,1,0
acc_1188,0,0
acc_1189,1,0
acc_1190,0,0
acc_1191,0,0
acc_1192,0,0
acc_1193,0,0
acc_1194,1,0
acc_1195,0,0
acc_1196,1,0
acc_1197,0,0
acc_1198,1,0
acc_1199,1,0
acc_1200,0,0
acc_1201,0,0
acc_1202,1,0
acc_1203,1,0
acc_1204,1,0
acc_1205,0,0
acc_1206,0,0
acc_1207,1,0
acc_1208,0,0
acc_1209,1,0
acc_1210,0,0
acc_1211,0,0
acc_1212,0,0
acc_1213,0,0
acc_1214,1,0
acc_1215,0,0
acc_1216,1,0
acc_1217,1,0
acc_1218,0,0
acc_1219,0,0
acc_1220,1,0
acc_1221,0,0
acc_1222,1,0
acc_1223,0,0
acc_1224,1,0
acc_1225,0,0
acc_1226,1,0
acc_1227,1,0
acc_1228,0,0
acc_1229,0,0
acc_1230,0,1
acc_1231,0,0
acc_1232,1,1
acc_1233,0,0
acc_1234,1,0
acc_1235,1,0
acc_1236,1,0
acc_1237,1,0
acc_1238,0,0
acc_1239,0,0
acc_1240,1,1
acc_1241,0,0
acc_1242,0,0
acc_1243,0,1
acc_1244,1,0
acc_1245,1,1
acc_1246,1,0
acc_1247,0,0
acc_1248,1,0
acc_1249,0,0
acc_1250,0,0
acc_1251,1,0
acc_1252,1,0
acc_1253,0,1
acc_1254,0,0
acc_1255,0,0
acc_1256,1,0
acc_1257,1,0
acc_1258,0,0
acc_1259,0,0
acc_1260,0,0
acc_1261,0,0
acc_1262,1,0
acc_1263,1,1
acc_1264,1,0
acc_1265,0,0
acc_1266,0,0
acc_1267,1,0
acc_1268,0,0
acc_1269,1,1
acc_1270,1,0
acc_1271,0,0
acc_1272,0,0
acc_1273,1,0
acc_1274,0,0
acc_1275,0,0
acc_1276,0,0
acc_1277,1,0
acc_1278,0,0
acc_1279,1,0
acc_1280,1,0
acc_1281,0,0
acc_1282,1,0
acc_1283,0,0
acc_1284,1,0
acc_1285,0,1
acc_1286,0,0
acc_1287,0,0
acc_1288,1,0
acc_1289,1,0
acc_1290,0,0
acc_1291,0,0
acc_1292,0,0
acc_1293,0,1
acc_1294,0,0
acc_1295,0,0
acc_1296,0,0
acc_1297,0,0
acc_1298,1,1
acc_1299,1,0
acc_1300,0,0
acc_1301,0,0
acc_1302,1,0
acc_1303,0,1
acc_1304,0,0
acc_1305,1,0
acc_1306,1,0
acc_1307,0,0
acc_1308,0,0
acc_1309,0,0
acc_1310,0,0
acc_1311,0,0
acc_1312,1,0
acc_1313,0,0
acc_1314,0,0
acc_1315,1,0
acc_1316,0,0
acc_1317,1,1
acc_1318,0,0
acc_1319,0,0
acc_1320,0,0
acc_1321,1,0
acc_1322,0,0
acc_1323,1,0
acc_1324,1,0
acc_1325,0,0
acc_1326,1,0
acc_1327,0,0
acc_1328,0,1
acc_1329,1,0
acc_1330,1,1
acc_1331,1,0
acc_1332,0,0
acc_1333,1,0
acc_1334,1,0
acc_1335,0,0
acc_1336,1,0
acc_1337,0,0
acc_1338,1,0
acc_1339,0,0
acc_1340,0,0
acc_1341,0,0
acc_1342,0,0
acc_1343,0,0
acc_1344,0,0
acc_1345,0,0
acc_1346,0,0
acc_1347,1,0
acc_1348,0,0
acc_1349,0,0
acc_1350,0,0
acc_1351,0,0
acc_1352,0,0
acc_1353,0,0
acc_1354,0,0
acc_1355,1,0
acc_1356,0,0
acc_1357,1,0
acc_1358,1,0
acc_1359,0,0
acc_1360,1,0
acc_1361,1,0
acc_1362,0,0
acc_1363,0,0
acc_1364,1,0
acc_1365,1,0
acc_1366,0,0
acc_1367,1,0
acc_1368,0,0
acc_1369,0,0
acc_1370,1,0
acc_1371,1,0
acc_1372,0,0
acc_1373,0,0
acc_1374,0,0
acc_1375,0,0
acc_1376,0,1
acc_1377,0,0
acc_1378,1,0
acc_1379,0,1
acc_1380,0,0
acc_1381,0,1
acc_1382,1,0
acc_1383,0,0
acc_1384,1,1
acc_1385,0,0
acc_1386,0,0
acc_1387,0,0
acc_1388,0,0
acc_1389,0,1
acc_1390,1,1
acc_1391,0,0
acc_1392,0,0
acc_1393,0,0
acc_1394,1,0
acc_1395,0,0
