account_id,login_frequency,feature_adoption,session_depth
acc_0120,23,7,4.78
acc_0121,14,4,2.09
acc_0122,0,2,1.24
acc_0123,26,4,3.43
acc_0124,7,6,1.97
acc_0125,8,0,1.49
acc_0126,2,2,1.15
acc_0127,16,4,3.76
acc_0128,33,6,5.49
acc_0129,4,7,1.21
acc_0130,9,4,0.72
acc_0131,26,9,3.87
acc_0132,13,5,3.27
acc_0133,3,1,0.1
acc_0134,22,6,2.85
acc_0135,14,8,3.13
acc_0136,27,9,3.49
acc_0137,14,5,4.19
acc_0138,24,11,3.13
acc_0139,18,3,2.61
acc_0140,17,4,2.58
acc_0141,13,3,0.1
acc_0142,6,1,2.43
acc_0143,15,10,2.99
acc_0144,15,7,2.91
acc_0145,2,4,3.66
acc_0146,3,4,0.1
acc_0147,16,5,4.65
acc_0148,23,5,4.15
acc_0149,21,7,3.69
acc_0150,0,3,1.97
acc_0151,9,2,1.1
acc_0152,5,5,0.1
acc_0153,0,1,0.1
acc_0154,23,7,5.56
acc_0155,11,2,0.85
acc_0156,30,9,2.17
acc_0157,6,6,1.73
acc_0158,14,7,3.78
acc_0159,18,8,3.47
acc_0160,18,4,3.34
acc_0161,25,7,4.37
acc_0162,19,6,3.84
acc_0163,14,7,3.37
acc_0164,0,2,0.5
acc_0165,9,1,2.05
acc_0166,34,11,5.06
acc_0167,12,0,0.1
acc_0168,3,0,2.72
acc_0169,18,4,3.21
acc_0170,13,8,3.71
acc_0171,18,8,3.39
acc_0172,15,3,4.42
acc_0173,22,9,2.39
acc_0174,4,3,3.14
acc_0175,14,0,0.1
acc_0176,21,7,2.5
acc_0177,17,1,2.22
acc_0178,5,3,0.79
acc_0179,36,6,3.73
acc_0180,11,2,1.03
acc_0181,14,3,0.87
acc_0182,14,7,3.1
acc_0183,25,7,3.36
acc_0184,17,6,3.39
acc_0185,22,5,3.98
acc_0186,1,2,0.73
acc_0187,21,8,4.41
acc_0188,23,11,2.24
acc_0189,21,3,0.25
acc_0190,17,4,1.44
acc_0191,0,3,0.82
acc_0192,32,13,5.18
acc_0193,17,4,0.1
acc_0194,5,2,2.24
acc_0195,34,6,3.77
acc_0196,16,3,1.69
acc_0197,13,6,0.73
acc_0198,2,2,3.88
acc_0199,25,4,3.35
acc_0200,17,10,2.8
acc_0201,4,2,1.33
acc_0202,0,2,2.1
acc_0203,1,0,0.1
acc_0204,17,6,0.11
acc_0205,17,4,2.35
acc_0206,31,11,4.36
acc_0207,15,7,3.55
acc_0208,17,3,4.25
acc_0209,16,8,4.46
acc_0210,17,9,1.56
acc_0211,8,3,0.83
acc_0212,9,7,0.83
acc_0213,21,8,4.43
acc_0214,19,10,4.1
acc_0215,16,2,2.11
acc_0216,25,5,3.33
acc_0217,18,7,1.17
acc_0218,33,9,3.8
acc_0219,14,2,0.1
acc_0220,22,8,4.26
acc_0221,26,8,3.78
acc_0222,12,4,3.11
acc_0223,13,7,2.9
acc_0224,12,5,4.75
acc_0225,18,4,3.12
acc_0226,0,0,1.17
acc_0227,12,4,1.69
acc_0228,17,6,3.35
acc_0229,14,2,2.11
acc_0230,26,6,5.18
acc_0231,19,9,2.11
acc_0232,4,4,2.05
acc_0233,4,4,0.1
acc_0234,8,0,1.39
acc_0235,4,1,0.59
acc_0236,17,3,2.86
acc_0237,13,4,1.46
acc_0238,12,1,1.99
acc_0239,23,9,4.14
acc_0240,13,5,2.82
acc_0241,23,8,5.1
acc_0242,14,7,2.14
acc_0243,27,6,1.76
acc_0244,9,4,3.72
acc_0245,9,5,1.46
acc_0246,24,10,3.79
acc_0247,4,4,2.24
acc_0248,22,8,2.82
acc_0249,8,5,1.38
acc_0250,13,10,3.45
acc_0251,10,5,2.4
acc_0252,5,3,1.27
acc_0253,20,7,2.83
acc_0254,20,7,2.43
acc_0255,9,3,2.19
acc_0256,17,7,4.69
acc_0257,26,3,2.13
acc_0258,1,0,1.07
acc_0259,5,5,3.89
acc_0260,17,4,3.93
acc_0261,28,5,3.11
acc_0262,16,8,3.19
acc_0263,17,7,1.31
acc_0264,12,7,2.29
acc_0265,13,0,2.38
acc_0266,24,9,5.19
acc_0267,7,1,0.61
acc_0268,11,3,0.89
acc_0269,21,9,4.4
acc_0270,8,1,2.05
acc_0271,26,8,4.76
acc_0272,32,8,3.76
acc_0273,17,4,1.68
acc_0274,21,10,2.47
acc_0275,16,7,4.79
acc_0276,26,7,1.03
acc_0277,18,2,1.57
acc_0278,6,2,0.1
acc_0279,1,0,1.21
acc_0280,37,7,5.18
acc_0281,19,7,1.73
acc_0282,15,0,4.22
acc_0283,17,2,4.15
acc_0284,17,8,3.09
acc_0285,20,8,4.31
acc_0286,11,1,1.23
acc_0287,19,10,2.95
acc_0288,9,3,1.65
acc_0289,9,6,1.29
acc_0290,9,1,0.1
acc_0291,20,10,2.41
acc_0292,14,3,1.37
acc_0293,2,1,1.32
acc_0294,7,7,2.52
acc_0295,16,5,1.23
acc_0296,8,0,1.55
acc_0297,26,7,4.78
acc_0298,11,4,1.82
acc_0299,14,2,3.55
acc_0300,8,3,1.24
acc_0301,23,11,2.12
acc_0302,13,4,2.12
acc_0303,13,6,2.5
acc_0304,22,6,3.19
acc_0305,12,6,0.1
acc_0306,12,5,1.27
acc_0307,23,10,3.35
acc_0308,0,5,3.06
acc_0309,13,5,2.73
acc_0310,2,1,0.1
acc_0311,19,9,2.71
acc_0312,7,6,2.89
acc_0313,18,5,2.83
acc_0314,13,4,2.38
acc_0315,29,7,3.46
acc_0316,21,11,4.7
acc_0317,2,4,0.1
acc_0318,18,10,1.72
acc_0319,22,7,3.16
acc_0320,26,5,1.34
acc_0321,31,8,3.64
acc_0322,13,4,3.03
acc_0323,22,9,4.39
acc_0324,14,9,4.65
acc_0325,13,5,1.42
acc_0326,16,4,1.64
acc_0327,25,10,2.19
acc_0328,23,6,3.5
acc_0329,21,2,3.25
acc_0330,19,5,2.92
acc_0331,19,6,1.83
acc_0332,24,10,1.85
acc_0333,20,5,3.07
acc_0334,11,4,2.06
acc_0335,17,6,3.85
acc_0336,34,8,3.7
acc_0337,14,2,1.37
acc_0338,18,8,3.99
acc_0339,19,5,2.14
acc_0340,23,3,4.3
acc_0341,28,6,4.89
acc_0342,20,8,2.12
acc_0343,11,5,1.6
acc_0344,18,11,5.46
acc_0345,18,10,3.84
acc_0346,23,4,2.95
acc_0347,19,4,3.27
acc_0348,10,2,2.41
acc_0349,26,6,3.67
acc_0350,30,7,4.33
acc_0351,5,2,1.42
acc_0352,15,1,2.86
acc_0353,11,8,2.99
acc_0354,12,1,1.55
acc_0355,16,3,3.93
acc_0356,20,6,2.74
acc_0357,12,5,1.56
acc_0358,21,7,4.37
acc_0359,19,8,3.58
acc_0360,31,8,2.25
acc_0361,14,8,2.55
acc_0362,22,8,2.4
acc_0363,0,4,2.28
acc_0364,3,2,1.39
acc_0365,19,8,1.74
acc_0366,7,8,2.06
acc_0367,22,6,3.89
acc_0368,12,4,1.44
acc_0369,6,3,4.5
acc_0370,20,9,2.43
acc_0371,20,2,2.97
acc_0372,14,3,1.59
acc_0373,22,11,3.69
acc_0374,9,3,1.41
acc_0375,17,0,1.69
acc_0376,15,3,4.4
acc_0377,17,8,0.65
acc_0378,15,6,2.27
acc_0379,18,3,2.04
acc_0380,7,1,2.1
acc_0381,16,5,4.19
acc_0382,0,2,0.1
acc_0383,14,10,3.11
acc_0384,10,8,3.11
acc_0385,15,2,3.26
acc_0386,19,6,2.78
acc_0387,16,1,0.1
acc_0388,15,6,3.29
acc_0389,4,0,2.63
acc_0390,0,1,1.67
acc_0391,31,5,4.48
acc_0392,6,5,3.09
acc_0393,21,7,3.64
acc_0394,19,4,2.69
acc_0395,13,5,2.86
acc_0396,22,8,0.7
acc_0397,16,8,2.67
acc_0398,11,5,3.11
acc_0399,12,2,1.12
acc_0400,25,9,4.07
acc_0401,15,8,2.48
acc_0402,28,9,3.87
acc_0403,14,2,2.28
acc_0404,22,10,4.2
acc_0405,13,5,1.97
acc_0406,12,3,0.62
acc_0407,22,7,3.26
acc_0408,26,8,5.44
acc_0409,13,2,4.03
acc_0410,1,2,0.1
acc_0411,20,4,4.02
acc_0412,22,6,2.53
acc_0413,24,5,4.1
acc_0414,22,4,4.73
acc_0415,17,10,4.05
acc_0416,8,0,0.21
acc_0417,15,4,1.27
acc_0418,25,6,4.67
acc_0419,16,10,1.92
acc_0420,1,1,0.1
acc_0421,1,0,1.12
acc_0422,7,5,1.54
acc_0423,10,4,4.26
acc_0424,12,5,0.61
acc_0425,9,6,0.1
acc_0426,12,6,0.67
acc_0427,12,5,2.85
acc_0428,0,3,1.41
acc_0429,18,7,2.9
acc_0430,27,4,2.45
acc_0431,18,8,3.07
acc_0432,7,0,2.36
acc_0433,13,4,2.36
acc_0434,18,7,3.69
acc_0435,21,6,4.3
acc_0436,20,5,3.57
acc_0437,9,4,0.45
acc_0438,7,3,0.27
acc_0439,27,12,5.25
acc_0440,23,5,1.41
acc_0441,23,8,4.86
acc_0442,21,0,0.56
acc_0443,1,0,2.08
acc_0444,22,7,3.4
acc_0445,7,6,1.12
acc_0446,14,5,3.31
acc_0447,22,10,4.68
acc_0448,7,1,0.84
acc_0449,17,8,0.71
acc_0450,10,5,1.79
acc_0451,15,5,3.36
acc_0452,10,4,3.74
acc_0453,21,7,4.83
acc_0454,26,7,5.72
acc_0455,26,11,3.54
acc_0456,26,7,4.46
acc_0457,21,6,2.48
acc_0458,4,2,1.31
acc_0459,14,1,1.26
acc_0460,15,4,1.99
acc_0461,12,0,0.1
acc_0462,12,2,0.76
acc_0463,12,2,2.17
acc_0464,15,6,3.36
acc_0465,7,0,2.07
acc_0466,26,5,1.74
acc_0467,1,3,1.72
acc_0468,5,7,3.42
acc_0469,20,7,4.76
acc_0470,5,4,1.18
acc_0471,17,6,2.48
acc_0472,25,10,5.49
acc_0473,24,5,4.28
acc_0474,9,4,0.1
acc_0475,11,6,0.27
acc_0476,8,4,0.1
acc_0477,10,9,1.61
acc_0478,9,5,3.74
acc_0479,20,9,3.92
acc_0480,21,8,3.28
acc_0481,10,4,1.66
acc_0482,0,7,3.84
acc_0483,21,8,3.94
acc_0484,23,6,2.99
acc_0485,16,8,3.32
acc_0486,24,4,5.56
acc_0487,3,3,1.54
acc_0488,23,9,2.79
acc_0489,10,4,1.11
acc_0490,19,12,2.49
acc_0491,19,3,1.8
acc_0492,34,6,3.41
acc_0493,19,9,1.47
acc_0494,19,7,3.4
acc_0495,23,8,4.36
acc_0496,10,1,2.43
acc_0497,4,3,0.1
acc_0498,26,4,2.24
acc_0499,23,5,2.17
acc_0500,8,0,2.72
acc_0501,23,9,4.14
acc_0502,12,8,4.81
acc_0503,16,3,3.04
acc_0504,14,3,0.89
acc_0505,14,7,3.83
acc_0506,10,3,0.1
acc_0507,18,6,1.36
acc_0508,7,4,1.67
acc_0509,23,8,4.79
acc_0510,7,0,3.81
acc_0511,18,2,1.03
acc_0512,22,5,3.37
acc_0513,11,0,2.42
acc_0514,21,11,4.24
acc_0515,11,5,3.83
acc_0516,4,3,0.1
acc_0517,3,3,1.68
acc_0518,25,8,4.59
acc_0519,11,11,3.31
acc_0520,13,11,1.87
acc_0521,14,7,0.94
acc_0522,12,2,1.04
acc_0523,20,8,1.33
acc_0524,11,1,1.53
acc_0525,31,12,4.33
acc_0526,23,0,1.34
acc_0527,11,2,1.34
acc_0528,24,8,1.8
acc_0529,14,6,2.72
acc_0530,3,0,0.62
acc_0531,20,7,3.29
acc_0532,12,5,2.38
acc_0533,12,3,0.73
acc_0534,12,4,1.84
acc_0535,13,6,1.65
acc_0536,7,3,1.35
acc_0537,28,9,5.73
acc_0538,11,7,1.4
acc_0539,14,4,1.97
acc_0540,8,4,0.61
acc_0541,13,9,2.99
acc_0542,12,9,1.94
acc_0543,18,5,2.39
acc_0544,7,0,1.4
acc_0545,10,5,0.1
acc_0546,25,6,2.27
acc_0547,22,5,1.5
acc_0548,15,4,0.78
acc_0549,18,9,3.91
acc_0550,25,10,3.21
acc_0551,17,7,5.29
acc_0552,9,10,1.43
acc_0553,12,4,0.55
acc_0554,11,4,3.21
acc_0555,17,7,2.48
acc_0556,17,5,3.05
acc_0557,17,6,4.04
acc_0558,23,8,4.44
acc_0559,19,1,3.02
acc_0560,21,6,3.9
acc_0561,6,2,0.4
acc_0562,9,4,1.4
acc_0563,5,0,1.24
acc_0564,11,2,1.06
acc_0565,20,7,3.66
acc_0566,14,5,0.1
acc_0567,24,5,1.47
acc_0568,17,5,0.1
acc_0569,7,2,0.55
acc_0570,14,6,0.63
acc_0571,27,5,5.65
acc_0572,3,4,1.79
acc_0573,14,3,2.78
acc_0574,20,5,1.87
acc_0575,0,0,0.1
acc_0576,12,3,3.85
acc_0577,16,5,4.18
acc_0578,14,3,2.46
acc_0579,14,7,0.1
acc_0580,16,9,2.89
acc_0581,0,4,1.36
acc_0582,29,10,3.85
acc_0583,21,8,1.93
acc_0584,18,10,5.58
acc_0585,0,0,0.1
acc_0586,16,8,0.32
acc_0587,23,5,3.55
acc_0588,22,4,4.53
acc_0589,25,4,4.07
acc_0590,12,2,0.72
acc_0591,20,2,1.02
acc_0592,9,6,0.38
acc_0593,3,5,1.12
acc_0594,10,5,2.13
acc_0595,17,2,2.95
acc_0596,11,2,0.78
acc_0597,22,10,5.12
acc_0598,13,4,2.96
acc_0599,17,2,0.97
acc_0600,15,3,3.45
acc_0601,13,3,3.32
acc_0602,15,5,2.12
acc_0603,26,7,3.17
acc_0604,24,8,3.3
acc_0605,10,5,2.5
acc_0606,26,9,5.32
acc_0607,17,10,5.46
acc_0608,21,3,3.08
acc_0609,37,13,4.77
acc_0610,6,4,2.18
acc_0611,2,4,1.8
acc_0612,8,0,0.1
acc_0613,20,7,5.82
acc_0614,17,7,4.58
acc_0615,14,11,4.77
acc_0616,22,6,3.88
acc_0617,12,5,1.66
acc_0618,24,4,0.1
acc_0619,25,10,1.74
acc_0620,22,6,3.59
acc_0621,28,10,4.78
acc_0622,22,1,2.96
acc_0623,8,4,2.68
acc_0624,14,5,0.64
acc_0625,13,6,2.62
acc_0626,14,4,0.42
acc_0627,31,8,4.01
acc_0628,12,5,2.64
acc_0629,8,9,2.4
acc_0630,19,9,3.04
acc_0631,4,3,1.62
acc_0632,18,6,3.39
acc_0633,9,6,0.1
acc_0634,21,7,1.66
acc_0635,32,7,3.71
acc_0636,1,4,0.1
acc_0637,9,5,2.98
acc_0638,4,3,0.58
acc_0639,22,7,3.88
acc_0640,0,6,1.96
acc_0641,19,7,5.08
acc_0642,11,4,3.56
acc_0643,23,7,3.88
acc_0644,6,4,2.73
acc_0645,20,3,3.41
acc_0646,20,7,3.29
acc_0647,20,3,2.54
acc_0648,19,4,0.1
acc_0649,10,6,1.92
acc_0650,11,0,1.01
acc_0651,20,8,3.34
acc_0652,29,6,2.71
acc_0653,0,0,0.53
acc_0654,17,5,1.62
acc_0655,12,9,1.27
acc_0656,15,7,2.07
acc_0657,14,2,3.57
acc_0658,19,4,1.68
acc_0659,8,3,0.1
acc_0660,26,9,4.03
acc_0661,16,7,1.32
acc_0662,12,4,1.39
acc_0663,6,5,2.52
acc_0664,14,5,2.43
acc_0665,19,5,4.95
acc_0666,8,6,0.1
acc_0667,27,9,3.62
acc_0668,19,4,2.19
acc_0669,21,5,2.19
acc_0670,0,1,0.1
acc_0671,24,8,3.6
acc_0672,9,5,3.02
acc_0673,22,4,2.41
acc_0674,12,7,1.34
acc_0675,10,1,2.74
acc_0676,29,4,3.74
acc_0677,18,5,3.26
acc_0678,12,2,2.44
acc_0679,17,0,2.68
acc_0680,9,3,0.97
acc_0681,12,7,2.59
acc_0682,18,6,2.48
acc_0683,19,5,2.07
acc_0684,10,5,2.36
acc_0685,26,7,5.12
acc_0686,14,2,0.53
acc_0687,9,1,2.38
acc_0688,15,6,2.76
acc_0689,0,3,0.49
acc_0690,33,8,5.08
acc_0691,13,0,1.71
acc_0692,26,10,5.11
acc_0693,2,0,1.63
acc_0694,19,5,2.55
acc_0695,12,3,2.28
acc_0696,12,6,2.2
acc_0697,21,7,3.3
acc_0698,22,0,3.29
acc_0699,16,7,2.71
acc_0700,16,6,4.19
acc_0701,10,6,4.25
acc_0702,14,6,2.12
acc_0703,24,8,5.77
acc_0704,14,5,2.27
acc_0705,24,3,2.05
acc_0706,19,6,3.53
acc_0707,11,4,4.27
acc_0708,7,3,0.76
acc_0709,13,6,1.62
acc_0710,23,4,3.1
acc_0711,21,6,3.71
acc_0712,19,3,4.3
acc_0713,0,3,1.14
acc_0714,16,6,3.14
acc_0715,3,2,0.1
acc_0716,8,1,2.02
acc_0717,25,3,3.36
acc_0718,33,6,3.97
acc_0719,14,9,3.55
acc_0720,8,7,2.93
acc_0721,8,3,1.72
acc_0722,0,1,0.1
acc_0723,23,7,4.0
acc_0724,29,10,3.72
acc_0725,10,2,2.07
acc_0726,28,7,2.16
acc_0727,6,0,0.29
acc_0728,10,5,2.94
acc_0729,17,10,3.46
acc_0730,20,3,2.65
acc_0731,11,7,0.23
acc_0732,12,1,1.31
acc_0733,23,7,5.06
acc_0734,17,7,3.07
acc_0735,20,6,2.67
acc_0736,8,3,0.62
acc_0737,21,9,2.56
acc_0738,18,8,3.49
acc_0739,12,3,2.41
acc_0740,17,0,0.62
acc_0741,16,3,2.67
acc_0742,21,10,3.64
acc_0743,0,0,0.1
acc_0744,0,3,0.1
acc_0745,12,3,0.94
acc_0746,9,8,2.59
acc_0747,24,12,3.66
acc_0748,2,6,3.1
acc_0749,19,3,0.16
acc_0750,28,2,4.15
acc_0751,19,6,3.54
acc_0752,18,9,3.57
acc_0753,20,8,2.0
acc_0754,5,0,0.1
acc_0755,25,2,3.04
acc_0756,23,10,4.43
acc_0757,17,11,4.09
acc_0758,13,3,2.1
acc_0759,24,9,4.67
acc_0760,14,9,1.27
acc_0761,22,6,2.67
acc_0762,22,4,1.87
acc_0763,20,9,3.66
acc_0764,12,5,3.96
acc_0765,8,8,1.64
acc_0766,9,1,0.1
acc_0767,18,8,2.34
acc_0768,17,1,2.71
acc_0769,11,4,2.06
acc_0770,27,4,1.49
acc_0771,17,9,4.1
acc_0772,20,2,2.16
acc_0773,17,6,2.57
acc_0774,16,3,3.08
acc_0775,13,10,5.7
acc_0776,24,10,2.37
acc_0777,21,8,1.5
acc_0778,2,1,2.46
acc_0779,31,6,4.79
acc_0780,18,5,2.02
acc_0781,26,5,1.77
acc_0782,19,10,3.56
acc_0783,24,6,4.84
acc_0784,15,5,2.39
acc_0785,19,5,3.12
acc_0786,7,1,0.1
acc_0787,4,3,0.77
acc_0788,17,4,3.37
acc_0789,0,2,2.27
acc_0790,7,5,1.2
acc_0791,23,3,3.87
acc_0792,14,4,2.66
acc_0793,11,6,2.91
acc_0794,8,8,4.64
acc_0795,11,6,3.52
acc_0796,24,8,6.75
acc_0797,24,9,3.32
acc_0798,30,8,4.2
acc_0799,5,1,0.9
acc_0800,8,2,1.49
acc_0801,9,6,2.56
acc_0802,18,6,2.94
acc_0803,21,5,2.14
acc_0804,14,1,1.04
acc_0805,24,7,4.4
acc_0806,8,5,2.83
acc_0807,8,5,4.86
acc_0808,5,0,1.99
acc_0809,18,4,1.58
acc_0810,3,7,1.71
acc_0811,11,8,3.48
acc_0812,0,2,2.46
acc_0813,2,4,2.79
acc_0814,19,5,0.75
acc_0815,26,8,3.67
acc_0816,13,5,1.77
acc_0817,23,10,4.52
acc_0818,17,1,0.9
acc_0819,27,11,3.39
acc_0820,28,4,1.05
acc_0821,10,5,2.56
acc_0822,4,2,2.35
acc_0823,19,7,3.44
acc_0824,10,6,1.51
acc_0825,17,6,1.63
acc_0826,13,4,1.83
acc_0827,16,9,2.07
acc_0828,15,5,0.32
acc_0829,26,6,5.28
acc_0830,13,0,0.1
acc_0831,22,9,4.86
acc_0832,11,7,2.27
acc_0833,23,8,5.14
acc_0834,2,5,0.71
acc_0835,18,7,3.62
acc_0836,25,9,3.7
acc_0837,0,0,0.4
acc_0838,21,5,1.71
acc_0839,8,6,1.14
acc_0840,3,4,0.1
acc_0841,12,8,1.2
acc_0842,9,7,0.66
acc_0843,18,5,1.79
acc_0844,23,7,3.52
acc_0845,5,4,2.2
acc_0846,30,10,4.47
acc_0847,13,3,0.36
acc_0848,13,4,0.83
acc_0849,0,1,0.1
acc_0850,15,6,2.86
acc_0851,8,2,2.18
acc_0852,14,5,3.67
acc_0853,25,7,4.18
acc_0854,9,2,3.12
acc_0855,5,1,0.9
acc_0856,18,3,3.83
acc_0857,15,4,3.16
acc_0858,0,0,3.15
acc_0859,15,6,2.29
acc_0860,6,3,0.17
acc_0861,14,5,1.31
acc_0862,13,2,2.59
acc_0863,21,7,1.75
acc_0864,13,7,3.82
acc_0865,2,0,0.15
acc_0866,13,4,1.84
acc_0867,20,1,1.74
acc_0868,12,3,4.4
acc_0869,20,10,3.35
acc_0870,14,4,0.83
acc_0871,28,8,4.85
acc_0872,0,0,0.54
acc_0873,9,2,1.76
acc_0874,5,4,2.43
acc_0875,21,3,4.37
acc_0876,15,8,1.91
acc_0877,2,1,0.1
acc_0878,3,3,4.59
acc_0879,19,7,2.17
acc_0880,4,2,2.0
acc_0881,0,2,2.38
acc_0882,3,3,1.4
acc_0883,21,10,4.0
acc_0884,30,9,5.55
acc_0885,16,3,2.5
acc_0886,16,5,2.66
acc_0887,12,5,2.79
acc_0888,17,2,2.07
acc_0889,4,3,0.79
acc_0890,10,1,2.12
acc_0891,25,8,3.45
acc_0892,2,0,1.28
acc_0893,31,6,3.37
acc_0894,6,3,2.55
acc_0895,19,10,4.65
acc_0896,3,4,2.21
acc_0897,0,2,1.34
acc_0898,30,9,3.13
acc_0899,12,6,3.96
acc_0900,26,3,1.18
acc_0901,8,5,1.68
acc_0902,7,6,1.42
acc_0903,14,4,0.1
acc_0904,17,4,1.61
acc_0905,19,6,2.58
acc_0906,8,1,0.1
acc_0907,16,9,2.1
acc_0908,14,6,1.61
acc_0909,3,0,0.29
acc_0910,11,6,1.86
acc_0911,16,10,1.34
acc_0912,14,4,1.13
acc_0913,10,4,0.59
acc_0914,0,0,0.94
acc_0915,17,3,1.45
acc_0916,11,2,1.04
acc_0917,7,2,0.17
acc_0918,9,0,0.1
acc_0919,6,1,1.43
acc_0920,14,10,4.73
acc_0921,10,1,1.56
acc_0922,24,9,4.27
acc_0923,10,4,1.3
acc_0924,18,6,4.47
acc_0925,26,8,3.51
acc_0926,20,9,3.56
acc_0927,21,5,3.74
acc_0928,15,6,1.15
acc_0929,23,7,2.89
acc_0930,25,9,1.64
acc_0931,18,3,2.16
acc_0932,8,4,3.12
acc_0933,11,3,0.2
acc_0934,20,10,2.55
acc_0935,19,1,0.79
acc_0936,18,5,4.5
acc_0937,15,6,2.16
acc_0938,18,3,2.49
acc_0939,0,5,1.12
acc_0940,8,4,0.78
acc_0941,8,3,2.63
acc_0942,10,2,2.93
acc_0943,20,5,2.36
acc_0944,18,5,2.42
acc_0945,9,8,3.8
acc_0946,8,5,3.41
acc_0947,13,2,2.71
acc_0948,26,4,2.22
acc_0949,14,5,0.74
acc_0950,25,10,3.4
acc_0951,17,2,3.9
acc_0952,14,9,4.28
acc_0953,16,4,1.78
acc_0954,0,2,0.1
acc_0955,18,6,2.89
acc_0956,21,2,2.71
acc_0957,25,7,4.37
acc_0958,10,4,2.59
acc_0959,19,7,2.31
acc_0960,30,9,4.95
acc_0961,15,8,1.35
acc_0962,13,1,2.2
acc_0963,13,5,2.37
acc_0964,9,4,3.45
acc_0965,5,3,1.84
acc_0966,15,7,2.54
acc_0967,15,7,3.87
acc_0968,16,8,2.48
acc_0969,24,9,2.74
acc_0970,24,1,3.52
acc_0971,12,0,1.6
acc_0972,35,12,4.53
acc_0973,6,3,0.1
acc_0974,20,8,3.73
acc_0975,10,1,2.19
acc_0976,23,7,2.96
acc_0977,27,7,4.4
acc_0978,5,1,1.9
acc_0979,24,7,2.49
acc_0980,9,7,1.36
acc_0981,0,1,0.57
acc_0982,4,4,1.89
acc_0983,11,4,2.3
acc_0984,18,4,4.99
acc_0985,19,8,3.39
acc_0986,3,3,0.1
acc_0987,7,5,0.1
acc_0988,6,5,0.78
acc_0989,21,5,4.15
acc_0990,25,12,5.79
acc_0991,25,6,4.07
acc_0992,22,6,3.07
acc_0993,15,8,2.45
acc_0994,20,6,4.93
acc_0995,5,2,1.95
