account_id,ticket_volume,severe_tickets
acc_0384,10,3
acc_0385,7,1
acc_0386,6,2
acc_0387,12,0
acc_0388,9,3
acc_0389,10,3
acc_0390,10,2
acc_0391,5,1
acc_0392,7,2
acc_0393,3,0
acc_0394,5,1
acc_0395,7,2
acc_0396,12,0
acc_0397,8,2
acc_0398,7,1
acc_0399,11,3
acc_0400,7,2
acc_0401,8,3
acc_0402,1,0
acc_0403,6,1
acc_0404,4,0
acc_0405,9,2
acc_0406,5,0
acc_0407,0,0
acc_0408,2,1
acc_0409,1,0
acc_0410,11,1
acc_0411,9,1
acc_0412,3,2
acc_0413,8,2
acc_0414,5,1
acc_0415,3,2
acc_0416,8,2
acc_0417,11,1
acc_0418,3,0
acc_0419,3,2
acc_0420,14,2
acc_0421,12,3
acc_0422,9,1
acc_0423,7,0
acc_0424,12,1
acc_0425,6,3
acc_0426,12,1
acc_0427,10,1
acc_0428,18,2
acc_0429,7,2
acc_0430,8,3
acc_0431,6,2
acc_0432,16,2
acc_0433,8,2
acc_0434,4,0
acc_0435,13,2
acc_0436,4,0
acc_0437,3,2
acc_0438,8,2
acc_0439,2,1
acc_0440,4,1
acc_0441,1,1
acc_0442,10,1
acc_0443,13,3
acc_0444,3,2
acc_0445,6,2
acc_0446,11,3
acc_0447,4,0
acc_0448,10,2
acc_0449,10,1
acc_0450,11,3
acc_0451,8,1
acc_0452,7,2
acc_0453,4,1
acc_0454,6,2
acc_0455,6,1
acc_0456,2,1
acc_0457,6,1
acc_0458,5,2
acc_0459,10,1
acc_0460,8,2
acc_0461,14,2
acc_0462,14,2
acc_0463,11,4
acc_0464,7,0
acc_0465,9,2
acc_0466,4,0
acc_0467,12,3
acc_0468,13,1
acc_0469,4,0
acc_0470,11,4
acc_0471,5,0
acc_0472,4,2
acc_0473,11,0
acc_0474,12,2
acc_0475,9,0
acc_0476,5,3
acc_0477,8,1
acc_0478,10,1
acc_0479,6,1
acc_0480,8,0
acc_0481,10,3
acc_0482,10,2
acc_0483,7,3
acc_0484,6,1
acc_0485,2,0
acc_0486,5,0
acc_0487,15,1
acc_0488,1,1
acc_0489,9,3
acc_0490,3,0
acc_0491,6,2
acc_0492,2,1
acc_0493,8,2
acc_0494,10,2
acc_0495,7,1
acc_0496,12,2
acc_0497,10,3
acc_0498,2,2
acc_0499,5,1
acc_0500,12,3
acc_0501,1,1
acc_0502,7,1
acc_0503,6,2
acc_0504,8,3
acc_0505,4,2
acc_0506,13,4
acc_0507,2,2
acc_0508,9,2
acc_0509,0,0
acc_0510,8,0
acc_0511,8,3
acc_0512,7,1
acc_0513,9,1
acc_0514,1,0
acc_0515,7,0
acc_0516,14,4
acc_0517,16,3
acc_0518,5,0
acc_0519,6,0
acc_0520,8,2
acc_0521,10,1
acc_0522,8,2
acc_0523,7,3
acc_0524,10,3
acc_0525,2,0
acc_0526,8,1
acc_0527,10,2
acc_0528,3,2
acc_0529,6,1
acc_0530,11,3
acc_0531,2,0
acc_0532,9,4
acc_0533,12,3
acc_0534,6,1
acc_0535,9,0
acc_0536,15,2
acc_0537,1,0
acc_0538,8,2
acc_0539,8,2
acc_0540,6,2
acc_0541,6,0
acc_0542,3,2
acc_0543,5,3
acc_0544,15,2
acc_0545,12,4
acc_0546,6,1
acc_0547,4,1
acc_0548,7,3
acc_0549,9,0
acc_0550,3,0
acc_0551,8,1
acc_0552,8,1
acc_0553,7,0
acc_0554,8,2
acc_0555,9,1
acc_0556,0,0
acc_0557,10,2
acc_0558,3,0
acc_0559,11,3
acc_0560,0,0
acc_0561,11,2
acc_0562,5,3
acc_0563,16,3
acc_0564,10,2
acc_0565,3,2
acc_0566,4,2
acc_0567,6,0
acc_0568,9,4
acc_0569,11,3
acc_0570,9,2
acc_0571,2,0
acc_0572,6,2
acc_0573,7,2
acc_0574,9,0
acc_0575,16,2
acc_0576,9,1
acc_0577,8,1
acc_0578,8,2
acc_0579,11,2
acc_0580,6,1
acc_0581,12,3
acc_0582,3,1
acc_0583,0,0
acc_0584,3,1
acc_0585,11,3
acc_0586,8,2
acc_0587,5,0
acc_0588,2,1
acc_0589,6,2
acc_0590,11,2
acc_0591,7,2
acc_0592,6,1
acc_0593,13,2
acc_0594,8,1
acc_0595,10,1
acc_0596,8,3
acc_0597,2,0
acc_0598,8,4
acc_0599,10,4
acc_0600,7,1
acc_0601,9,2
acc_0602,8,2
acc_0603,4,0
acc_0604,2,1
acc_0605,5,3
acc_0606,0,0
acc_0607,0,0
acc_0608,6,2
acc_0609,1,0
acc_0610,7,1
acc_0611,10,2
acc_0612,13,1
acc_0613,1,1
acc_0614,1,0
acc_0615,6,2
acc_0616,6,1
acc_0617,14,2
acc_0618,11,3
acc_0619,6,4
acc_0620,0,0
acc_0621,0,0
acc_0622,6,1
acc_0623,7,0
acc_0624,15,2
acc_0625,8,3
acc_0626,11,4
acc_0627,5,0
acc_0628,9,1
acc_0629,9,2
acc_0630,0,0
acc_0631,11,3
acc_0632,6,2
acc_0633,13,3
acc_0634,6,1
acc_0635,3,2
acc_0636,17,2
acc_0637,11,2
acc_0638,14,2
acc_0639,3,1
acc_0640,13,0
acc_0641,1,1
acc_0642,8,1
acc_0643,8,0
acc_0644,11,0
acc_0645,7,1
acc_0646,9,0
acc_0647,7,2
acc_0648,9,1
acc_0649,7,1
acc_0650,11,2
acc_0651,6,0
acc_0652,9,2
acc_0653,18,3
acc_0654,6,1
acc_0655,5,2
acc_0656,7,1
acc_0657,9,1
acc_0658,6,2
acc_0659,10,2
acc_0660,0,0
acc_0661,6,2
acc_0662,6,1
acc_0663,8,3
acc_0664,9,1
acc_0665,5,3
acc_0666,14,2
acc_0667,4,2
acc_0668,8,0
acc_0669,7,3
acc_0670,15,3
acc_0671,3,0
acc_0672,8,3
acc_0673,8,0
acc_0674,6,1
acc_0675,12,2
acc_0676,4,2
acc_0677,6,3
acc_0678,13,2
acc_0679,6,0
acc_0680,14,1
acc_0681,8,2
acc_0682,5,1
acc_0683,9,2
acc_0684,8,1
acc_0685,5,2
acc_0686,5,1
acc_0687,10,1
acc_0688,5,3
acc_0689,15,2
acc_0690,4,1
acc_0691,11,1
acc_0692,2,1
acc_0693,9,3
acc_0694,6,0
acc_0695,5,1
acc_0696,6,0
acc_0697,6,0
acc_0698,10,3
acc_0699,10,2
acc_0700,5,3
acc_0701,4,3
acc_0702,8,3
acc_0703,4,2
acc_0704,7,3
acc_0705,6,3
acc_0706,7,2
acc_0707,5,1
acc_0708,8,3
acc_0709,9,1
acc_0710,6,2
acc_0711,6,2
acc_0712,5,0
acc_0713,12,1
acc_0714,8,1
acc_0715,14,4
acc_0716,9,2
acc_0717,4,0
acc_0718,0,0
acc_0719,8,0
acc_0720,5,1
acc_0721,10,1
acc_0722,12,3
acc_0723,3,0
acc_0724,5,1
acc_0725,11,0
acc_0726,10,2
acc_0727,11,2
acc_0728,9,2
acc_0729,7,2
acc_0730,9,2
acc_0731,5,3
acc_0732,10,0
acc_0733,1,0
acc_0734,3,0
acc_0735,7,2
acc_0736,9,2
acc_0737,6,0
acc_0738,5,3
acc_0739,8,1
acc_0740,11,0
acc_0741,9,3
acc_0742,5,1
acc_0743,15,2
acc_0744,16,3
acc_0745,7,1
acc_0746,7,1
acc_0747,2,1
acc_0748,12,3
acc_0749,6,1
acc_0750,2,1
acc_0751,8,1
acc_0752,4,0
acc_0753,7,1
acc_0754,16,1
acc_0755,6,1
acc_0756,6,0
acc_0757,3,1
acc_0758,8,1
acc_0759,4,2
acc_0760,7,0
acc_0761,6,1
acc_0762,8,2
acc_0763,1,1
acc_0764,6,4
acc_0765,9,0
acc_0766,12,2
acc_0767,2,2
acc_0768,10,1
acc_0769,10,2
acc_0770,6,0
acc_0771,1,0
acc_0772,2,1
acc_0773,7,4
acc_0774,10,0
acc_0775,7,1
acc_0776,3,1
acc_0777,4,2
acc_0778,11,3
acc_0779,3,1
acc_0780,7,0
acc_0781,6,0
acc_0782,6,0
acc_0783,5,2
acc_0784,4,0
acc_0785,8,3
acc_0786,9,3
acc_0787,11,4
acc_0788,4,3
acc_0789,14,2
acc_0790,8,0
acc_0791,6,1
acc_0792,2,2
acc_0793,7,1
acc_0794,11,1
acc_0795,6,3
acc_0796,0,0
acc_0797,8,1
acc_0798,8,1
acc_0799,14,2
acc_0800,10,1
acc_0801,8,3
acc_0802,2,0
acc_0803,8,1
acc_0804,12,2
acc_0805,8,2
acc_0806,9,1
acc_0807,8,3
acc_0808,13,2
acc_0809,11,3
acc_0810,6,2
acc_0811,3,0
acc_0812,14,3
acc_0813,8,2
acc_0814,9,2
acc_0815,1,0
acc_0816,3,2
acc_0817,3,0
acc_0818,9,1
acc_0819,1,1
acc_0820,6,1
acc_0821,8,0
acc_0822,12,1
acc_0823,5,1
acc_0824,9,2
acc_0825,8,2
acc_0826,11,2
acc_0827,8,2
acc_0828,12,2
acc_0829,0,0
acc_0830,7,2
acc_0831,1,0
acc_0832,7,2
acc_0833,7,2
acc_0834,11,1
acc_0835,0,0
acc_0836,2,1
acc_0837,15,3
acc_0838,6,0
acc_0839,10,0
acc_0840,15,3
acc_0841,10,1
acc_0842,11,0
acc_0843,12,1
acc_0844,4,0
acc_0845,8,3
acc_0846,2,0
acc_0847,7,3
acc_0848,4,3
acc_0849,16,2
acc_0850,7,1
acc_0851,8,3
acc_0852,8,2
acc_0853,7,1
acc_0854,6,1
acc_0855,14,2
acc_0856,8,1
acc_0857,7,2
acc_0858,11,2
acc_0859,4,1
acc_0860,12,3
acc_0861,12,2
acc_0862,11,4
acc_0863,10,2
acc_0864,4,2
acc_0865,12,3
acc_0866,7,1
acc_0867,8,2
acc_0868,6,1
acc_0869,6,4
acc_0870,8,1
acc_0871,4,0
acc_0872,18,5
acc_0873,13,2
acc_0874,9,2
acc_0875,7,0
acc_0876,4,1
acc_0877,11,1
acc_0878,7,0
acc_0879,9,1
acc_0880,10,3
acc_0881,11,1
acc_0882,10,2
acc_0883,3,3
acc_0884,4,1
acc_0885,5,0
acc_0886,11,2
acc_0887,2,2
acc_0888,9,3
acc_0889,14,3
acc_0890,15,3
acc_0891,5,2
acc_0892,10,3
acc_0893,3,1
acc_0894,11,2
acc_0895,0,0
acc_0896,8,1
acc_0897,13,5
acc_0898,5,0
acc_0899,5,2
acc_0900,8,0
acc_0901,5,1
acc_0902,8,1
acc_0903,10,1
acc_0904,11,1
acc_0905,9,2
acc_0906,12,2
acc_0907,1,1
acc_0908,7,1
acc_0909,16,3
acc_0910,8,1
acc_0911,11,3
acc_0912,12,3
acc_0913,12,3
acc_0914,13,2
acc_0915,7,3
acc_0916,11,1
acc_0917,11,3
acc_0918,10,2
acc_0919,13,3
acc_0920,5,1
acc_0921,9,1
acc_0922,1,0
acc_0923,8,2
acc_0924,7,1
acc_0925,5,2
acc_0926,7,2
acc_0927,7,1
acc_0928,9,2
acc_0929,8,2
acc_0930,6,1
acc_0931,9,2
acc_0932,8,0
acc_0933,11,3
acc_0934,4,1
acc_0935,14,4
acc_0936,9,0
acc_0937,12,2
acc_0938,7,2
acc_0939,7,2
acc_0940,10,1
acc_0941,9,3
acc_0942,7,0
acc_0943,7,2
acc_0944,8,0
acc_0945,5,2
acc_0946,11,2
acc_0947,7,2
acc_0948,5,1
acc_0949,13,2
acc_0950,2,0
acc_0951,2,2
acc_0952,0,0
acc_0953,11,3
acc_0954,10,2
acc_0955,3,2
acc_0956,5,2
acc_0957,2,2
acc_0958,9,2
acc_0959,3,1
acc_0960,0,0
acc_0961,9,0
acc_0962,14,2
acc_0963,7,4
acc_0964,6,3
acc_0965,12,1
acc_0966,10,0
acc_0967,10,2
acc_0968,3,2
acc_0969,4,0
acc_0970,7,3
acc_0971,11,1
acc_0972,0,0
acc_0973,15,3
acc_0974,5,2
acc_0975,14,3
acc_0976,4,2
acc_0977,3,1
acc_0978,11,3
acc_0979,6,1
acc_0980,12,4
acc_0981,11,4
acc_0982,16,3
acc_0983,8,1
acc_0984,5,1
acc_0985,7,2
acc_0986,9,0
acc_0987,12,2
acc_0988,14,3
acc_0989,7,0
acc_0990,0,0
acc_0991,1,0
acc_0992,4,1
acc_0993,5,1
acc_0994,3,0
acc_0995,9,1
acc_0996,9,3
acc_0997,3,0
acc_0998,10,1
acc_0999,7,3
acc_1000,7,1
acc_1001,11,1
acc_1002,10,3
acc_1003,0,0
acc_1004,10,2
acc_1005,10,1
acc_1006,11,1
acc_1007,9,1
acc_1008,6,0
acc_1009,5,4
acc_1010,4,0
acc_1011,1,0
acc_1012,6,2
acc_1013,0,0
acc_1014,11,2
acc_1015,8,1
acc_1016,11,1
acc_1017,3,1
acc_1018,11,3
acc_1019,0,0
acc_1020,5,3
acc_1021,7,1
acc_1022,9,2
acc_1023,10,1
acc_1024,11,4
acc_1025,9,1
acc_1026,14,3
acc_1027,9,3
acc_1028,4,2
acc_1029,12,2
acc_1030,6,1
acc_1031,2,0
acc_1032,5,2
acc_1033,10,1
acc_1034,11,0
acc_1035,12,2
acc_1036,10,2
acc_1037,4,1
acc_1038,11,0
acc_1039,11,4
acc_1040,15,3
acc_1041,9,2
acc_1042,5,1
acc_1043,8,2
acc_1044,15,2
acc_1045,14,3
acc_1046,5,2
acc_1047,3,2
acc_1048,9,2
acc_1049,5,1
acc_1050,7,1
acc_1051,7,1
acc_1052,10,1
acc_1053,12,1
acc_1054,10,1
acc_1055,10,2
acc_1056,6,3
acc_1057,11,2
acc_1058,10,2
acc_1059,2,1
acc_1060,3,0
acc_1061,4,3
acc_1062,6,1
acc_1063,7,2
acc_1064,1,1
acc_1065,0,0
acc_1066,11,1
acc_1067,9,2
acc_1068,9,0
acc_1069,12,1
acc_1070,13,2
acc_1071,6,1
acc_1072,6,1
acc_1073,14,4
acc_1074,12,3
acc_1075,6,2
acc_1076,12,2
acc_1077,5,1
acc_1078,8,1
acc_1079,4,0
acc_1080,3,0
acc_1081,3,2
acc_1082,10,1
acc_1083,3,0
acc_1084,9,2
acc_1085,5,0
acc_1086,11,1
acc_1087,9,1
acc_1088,6,2
acc_1089,0,0
acc_1090,7,2
acc_1091,4,2
acc_1092,9,2
acc_1093,5,1
acc_1094,11,4
acc_1095,9,0
acc_1096,7,3
acc_1097,6,3
acc_1098,13,2
acc_1099,11,1
acc_1100,2,0
acc_1101,1,0
acc_1102,0,0
acc_1103,7,0
acc_1104,5,3
acc_1105,10,2
acc_1106,11,4
acc_1107,11,1
acc_1108,12,3
acc_1109,4,2
acc_1110,9,2
acc_1111,12,2
acc_1112,8,1
acc_1113,5,0
acc_1114,0,0
acc_1115,8,2
acc_1116,8,2
acc_1117,2,0
acc_1118,11,3
acc_1119,9,1
acc_1120,7,0
acc_1121,9,0
acc_1122,9,1
acc_1123,13,3
acc_1124,11,1
acc_1125,10,1
acc_1126,12,3
acc_1127,14,4
acc_1128,10,3
acc_1129,5,0
acc_1130,7,2
acc_1131,12,2
acc_1132,3,3
acc_1133,12,3
acc_1134,4,2
acc_1135,10,2
acc_1136,9,3
acc_1137,9,1
acc_1138,14,4
acc_1139,5,3
acc_1140,9,1
acc_1141,8,1
acc_1142,3,0
acc_1143,9,2
acc_1144,0,0
acc_1145,10,2
acc_1146,8,1
acc_1147,8,2
acc_1148,9,0
acc_1149,8,3
acc_1150,3,2
acc_1151,2,1
acc_1152,8,0
acc_1153,11,2
acc_1154,5,3
acc_1155,5,3
acc_1156,7,2
acc_1157,9,0
acc_1158,7,2
acc_1159,5,1
acc_1160,6,1
acc_1161,2,0
acc_1162,9,2
acc_1163,1,1
acc_1164,8,4
acc_1165,1,1
acc_1166,5,2
acc_1167,12,3
acc_1168,0,0
acc_1169,13,4
acc_1170,10,1
acc_1171,7,1
acc_1172,9,2
acc_1173,11,2
acc_1174,7,0
acc_1175,2,2
acc_1176,15,2
acc_1177,7,3
acc_1178,15,3
acc_1179,0,0
acc_1180,7,0
acc_1181,11,1
acc_1182,5,1
acc_1183,9,1
acc_1184,6,0
acc_1185,10,1
acc_1186,13,2
acc_1187,8,2
acc_1188,5,0
acc_1189,6,0
acc_1190,13,3
acc_1191,3,1
acc_1192,9,2
acc_1193,8,3
acc_1194,8,2
acc_1195,11,1
acc_1196,2,0
acc_1197,12,1
acc_1198,8,1
acc_1199,6,0
acc_1200,6,0
acc_1201,8,0
acc_1202,6,3
acc_1203,3,0
acc_1204,2,0
acc_1205,14,2
acc_1206,0,0
acc_1207,4,1
acc_1208,6,1
acc_1209,9,1
acc_1210,6,2
acc_1211,5,1
acc_1212,12,3
acc_1213,8,2
acc_1214,4,0
acc_1215,7,1
acc_1216,0,0
acc_1217,5,1
acc_1218,15,2
acc_1219,3,2
acc_1220,6,0
acc_1221,12,2
acc_1222,8,0
acc_1223,8,2
acc_1224,0,0
acc_1225,12,2
acc_1226,6,1
acc_1227,10,3
acc_1228,5,0
acc_1229,10,0
acc_1230,2,1
acc_1231,10,1
acc_1232,9,1
acc_1233,8,1
acc_1234,7,2
acc_1235,2,0
acc_1236,7,1
acc_1237,13,3
acc_1238,10,1
acc_1239,9,2
acc_1240,2,1
acc_1241,7,1
acc_1242,8,1
acc_1243,8,2
acc_1244,7,1
acc_1245,9,3
acc_1246,3,0
acc_1247,5,1
acc_1248,14,3
acc_1249,7,1
acc_1250,9,1
acc_1251,2,2
acc_1252,4,0
acc_1253,7,2
acc_1254,8,3
acc_1255,5,2
acc_1256,9,1
acc_1257,1,0
acc_1258,10,3
acc_1259,14,1
acc_1260,10,3
acc_1261,16,2
acc_1262,9,1
acc_1263,2,1
acc_1264,5,1
acc_1265,7,4
acc_1266,1,1
acc_1267,12,1
acc_1268,3,0
acc_1269,1,1
acc_1270,11,2
acc_1271,7,2
acc_1272,12,2
acc_1273,10,3
acc_1274,11,2
acc_1275,8,1
acc_1276,9,0
acc_1277,2,0
acc_1278,2,0
acc_1279,5,2
acc_1280,9,1
acc_1281,12,3
acc_1282,2,1
acc_1283,7,2
acc_1284,9,4
acc_1285,2,1
acc_1286,8,2
acc_1287,7,1
acc_1288,8,3
acc_1289,1,1
acc_1290,6,0
acc_1291,12,3
acc_1292,3,1
acc_1293,8,2
acc_1294,10,2
acc_1295,8,0
acc_1296,11,2
acc_1297,7,1
acc_1298,8,1
acc_1299,5,2
acc_1300,13,2
acc_1301,11,2
acc_1302,6,1
acc_1303,7,2
acc_1304,5,3
acc_1305,5,1
acc_1306,12,2
acc_1307,8,4
acc_1308,10,0
acc_1309,8,2
acc_1310,6,1
acc_1311,9,3
acc_1312,8,1
acc_1313,9,3
acc_1314,13,3
acc_1315,8,0
acc_1316,15,1
acc_1317,6,1
acc_1318,6,2
acc_1319,12,3
acc_1320,9,1
acc_1321,0,0
acc_1322,12,3
acc_1323,10,2
acc_1324,1,0
acc_1325,8,0
acc_1326,5,2
acc_1327,3,0
acc_1328,5,1
acc_1329,9,1
acc_1330,7,2
acc_1331,9,1
acc_1332,8,1
acc_1333,3,1
acc_1334,0,0
acc_1335,10,2
acc_1336,5,2
acc_1337,10,2
acc_1338,7,1
acc_1339,12,3
acc_1340,10,3
acc_1341,7,2
acc_1342,7,1
acc_1343,9,0
acc_1344,6,3
acc_1345,9,3
acc_1346,5,0
acc_1347,8,0
acc_1348,6,0
acc_1349,3,2
acc_1350,5,1
acc_1351,1,0
acc_1352,11,1
acc_1353,11,1
acc_1354,7,1
acc_1355,6,2
acc_1356,10,1
acc_1357,2,2
acc_1358,9,3
acc_1359,9,1
acc_1360,9,1
acc_1361,6,1
acc_1362,10,2
acc_1363,13,1
acc_1364,5,1
acc_1365,5,2
acc_1366,12,1
acc_1367,10,1
acc_1368,16,1
acc_1369,8,2
acc_1370,11,3
acc_1371,7,0
acc_1372,1,0
acc_1373,7,1
acc_1374,1,0
acc_1375,18,2
acc_1376,4,0
acc_1377,7,3
acc_1378,4,0
acc_1379,2,1
acc_1380,9,1
acc_1381,6,2
acc_1382,3,0
acc_1383,12,1
acc_1384,6,1
acc_1385,5,1
acc_1386,3,1
acc_1387,16,3
acc_1388,14,3
acc_1389,8,2
acc_1390,10,2
acc_1391,6,0
acc_1392,10,1
acc_1393,14,2
acc_1394,0,0
acc_1395,6,2
