account_id,arr,plan_tier,seats,billing_interval,churned
acc_0154,26319.53,Professional,43,annual,0
acc_0155,169653.44,Enterprise,136,monthly,0
acc_0156,18348.56,Professional,31,monthly,1
acc_0157,21486.89,Professional,33,monthly,0
acc_0158,1680.65,Starter,7,monthly,0
acc_0159,166102.35,Enterprise,137,monthly,0
acc_0160,27134.81,Professional,45,monthly,0
acc_0161,21383.88,Professional,37,monthly,1
acc_0162,454.2,Starter,2,monthly,0
acc_0163,94403.95,Enterprise,86,monthly,0
acc_0164,18159.25,Professional,29,annual,1
acc_0165,197701.28,Enterprise,172,annual,0
acc_0166,2112.13,Starter,9,annual,1
acc_0167,520.31,Starter,2,monthly,0
acc_0168,2188.71,Starter,9,monthly,1
acc_0169,14894.53,Professional,27,monthly,1
acc_0170,143725.48,Enterprise,113,annual,0
acc_0171,913.18,Starter,4,monthly,0
acc_0172,1455.18,Starter,6,monthly,0
acc_0173,240.48,Starter,1,monthly,0
acc_0174,23311.35,Professional,41,monthly,1
acc_0175,1107.79,Starter,5,monthly,1
acc_0176,189958.07,Enterprise,168,annual,1
acc_0177,1324.03,Starter,6,annual,1
acc_0178,24069.17,Professional,42,monthly,1
acc_0179,12533.84,Professional,19,monthly,0
acc_0180,2117.7,Starter,9,monthly,0
acc_0181,11586.0,Professional,18,monthly,0
acc_0182,20600.64,Professional,34,annual,0
acc_0183,13639.78,Professional,22,monthly,0
acc_0184,7822.66,Professional,14,annual,0
acc_0185,2062.72,Starter,9,monthly,0
acc_0186,239298.78,Enterprise,199,monthly,1
acc_0187,25829.49,Professional,40,monthly,0
acc_0188,21805.86,Professional,40,annual,1
acc_0189,25835.71,Professional,43,monthly,1
acc_0190,1966.04,Starter,9,annual,1
acc_0191,713.78,Starter,3,annual,1
acc_0192,212950.61,Enterprise,173,annual,0
acc_0193,106992.35,Enterprise,85,annual,1
acc_0194,19481.83,Professional,35,monthly,0
acc_0195,895.98,Starter,4,monthly,1
acc_0196,9542.52,Professional,16,monthly,0
acc_0197,19133.17,Professional,29,monthly,0
acc_0198,110717.87,Enterprise,95,annual,0
acc_0199,1892.17,Starter,8,monthly,1
acc_0200,1894.06,Starter,8,monthly,1
acc_0201,439.75,Starter,2,annual,1
acc_0202,2025.28,Starter,8,monthly,1
acc_0203,80992.85,Enterprise,71,monthly,1
acc_0204,19357.64,Professional,31,monthly,1
acc_0205,100297.81,Enterprise,84,annual,0
acc_0206,1717.56,Starter,7,monthly,1
acc_0207,7650.67,Professional,14,annual,1
acc_0208,13582.71,Professional,21,monthly,0
acc_0209,2049.35,Starter,9,annual,1
acc_0210,18612.34,Professional,30,monthly,0
acc_0211,11443.72,Professional,18,monthly,1
acc_0212,195956.71,Enterprise,162,monthly,1
acc_0213,1160.96,Starter,5,monthly,0
acc_0214,107805.14,Enterprise,82,monthly,1
acc_0215,217896.85,Enterprise,190,monthly,0
acc_0216,24845.9,Professional,38,monthly,0
acc_0217,20114.89,Professional,36,annual,0
acc_0218,469.37,Starter,2,monthly,0
acc_0219,14472.11,Professional,26,annual,0
acc_0220,26473.17,Professional,49,annual,0
acc_0221,18850.62,Professional,33,monthly,1
acc_0222,1100.93,Starter,5,monthly,0
acc_0223,138255.91,Enterprise,105,monthly,0
acc_0224,22730.34,Professional,36,annual,1
acc_0225,125383.14,Enterprise,116,annual,1
acc_0226,9636.24,Professional,17,monthly,0
acc_0227,23575.77,Professional,38,monthly,0
acc_0228,16459.14,Professional,28,monthly,0
acc_0229,12156.6,Professional,19,annual,0
acc_0230,480.47,Starter,2,annual,0
acc_0231,1236.88,Starter,5,annual,0
acc_0232,20184.27,Professional,33,monthly,1
acc_0233,76455.95,Enterprise,62,monthly,0
acc_0234,24407.31,Professional,43,annual,1
acc_0235,2105.26,Starter,9,annual,1
acc_0236,1529.01,Starter,7,monthly,0
acc_0237,29915.3,Professional,49,monthly,0
acc_0238,23804.44,Professional,40,monthly,0
acc_0239,124994.62,Enterprise,99,annual,1
acc_0240,7341.96,Professional,13,monthly,1
acc_0241,1658.77,Starter,7,monthly,0
acc_0242,22467.58,Professional,40,monthly,0
acc_0243,11046.2,Professional,18,monthly,0
acc_0244,22461.73,Professional,35,monthly,0
acc_0245,252.74,Starter,1,monthly,0
acc_0246,2351.89,Starter,9,annual,0
acc_0247,14445.36,Professional,22,monthly,1
acc_0248,1518.35,Starter,6,monthly,0
acc_0249,1608.37,Starter,7,monthly,1
acc_0250,453.05,Starter,2,monthly,0
acc_0251,91430.71,Enterprise,77,monthly,0
acc_0252,263.71,Starter,1,monthly,0
acc_0253,20633.21,Professional,35,monthly,0
acc_0254,5638.88,Professional,10,annual,0
acc_0255,32012.74,Professional,49,annual,1
acc_0256,10553.58,Professional,18,monthly,0
acc_0257,24916.31,Professional,40,annual,1
acc_0258,20941.09,Professional,33,annual,0
acc_0259,1025.89,Starter,4,annual,1
acc_0260,19795.16,Professional,31,monthly,1
acc_0261,195946.98,Enterprise,153,annual,1
acc_0262,182314.81,Enterprise,147,monthly,1
acc_0263,10592.28,Professional,18,annual,0
acc_0264,179821.58,Enterprise,145,monthly,0
acc_0265,174191.01,Enterprise,136,monthly,0
acc_0266,27939.7,Professional,48,monthly,0
acc_0267,18418.59,Professional,32,annual,0
acc_0268,16856.1,Professional,29,annual,0
acc_0269,166086.2,Enterprise,137,monthly,0
acc_0270,16388.8,Professional,30,monthly,1
acc_0271,220449.82,Enterprise,174,annual,0
acc_0272,2003.98,Starter,9,monthly,0
acc_0273,2001.39,Starter,9,monthly,1
acc_0274,676.46,Starter,3,annual,0
acc_0275,243.69,Starter,1,annual,0
acc_0276,149309.73,Enterprise,130,monthly,0
acc_0277,467.34,Starter,2,monthly,1
acc_0278,23464.72,Professional,36,annual,0
acc_0279,2309.99,Starter,9,annual,1
acc_0280,2312.15,Starter,9,monthly,0
acc_0281,243.73,Starter,1,monthly,0
acc_0282,72125.31,Enterprise,56,monthly,1
acc_0283,8867.99,Professional,14,annual,1
acc_0284,17014.1,Professional,26,monthly,1
acc_0285,134740.16,Enterprise,123,monthly,0
acc_0286,143470.08,Enterprise,132,monthly,1
acc_0287,24123.15,Professional,43,monthly,0
acc_0288,2345.36,Starter,9,monthly,1
acc_0289,245.07,Starter,1,monthly,1
acc_0290,945.81,Starter,4,monthly,1
acc_0291,1203.05,Starter,5,monthly,0
acc_0292,2046.57,Starter,8,monthly,0
acc_0293,1302.99,Starter,5,annual,0
acc_0294,91624.32,Enterprise,73,monthly,0
acc_0295,234799.61,Enterprise,186,annual,0
acc_0296,1156.89,Starter,5,monthly,0
acc_0297,194310.42,Enterprise,163,monthly,0
acc_0298,11632.05,Professional,18,monthly,0
acc_0299,1014.9,Starter,4,annual,0
acc_0300,26750.84,Professional,43,monthly,1
acc_0301,1972.19,Starter,9,monthly,1
acc_0302,1743.17,Starter,8,monthly,0
acc_0303,10557.34,Professional,19,monthly,0
acc_0304,6707.44,Professional,11,monthly,0
acc_0305,2175.72,Starter,9,annual,0
acc_0306,22206.18,Professional,34,monthly,0
acc_0307,79791.51,Enterprise,64,monthly,0
acc_0308,6903.32,Professional,12,annual,0
acc_0309,24053.32,Professional,43,monthly,0
acc_0310,10271.1,Professional,16,monthly,1
acc_0311,22020.73,Professional,37,monthly,0
acc_0312,1731.57,Starter,7,monthly,1
acc_0313,196932.78,Enterprise,162,monthly,1
acc_0314,189090.01,Enterprise,171,monthly,1
acc_0315,1531.17,Starter,7,annual,0
acc_0316,10534.36,Professional,18,monthly,0
acc_0317,11667.72,Professional,20,annual,0
acc_0318,1241.71,Starter,5,monthly,1
acc_0319,246.35,Starter,1,monthly,0
acc_0320,1575.05,Starter,6,monthly,0
acc_0321,173602.42,Enterprise,135,monthly,0
acc_0322,1439.02,Starter,6,monthly,0
acc_0323,960.0,Starter,4,monthly,0
acc_0324,496.72,Starter,2,annual,0
acc_0325,21040.25,Professional,38,annual,1
acc_0326,256074.9,Enterprise,194,monthly,1
acc_0327,15056.42,Professional,25,annual,0
acc_0328,259.68,Starter,1,annual,0
acc_0329,31491.97,Professional,48,monthly,1
acc_0330,23172.29,Professional,38,monthly,0
acc_0331,12152.84,Professional,22,annual,0
acc_0332,26787.27,Professional,44,monthly,0
acc_0333,734.06,Starter,3,annual,0
acc_0334,2284.93,Starter,9,monthly,0
acc_0335,218.32,Starter,1,monthly,0
acc_0336,81050.27,Enterprise,68,monthly,0
acc_0337,13014.65,Professional,20,annual,0
acc_0338,28994.06,Professional,44,monthly,0
acc_0339,65304.05,Enterprise,58,monthly,1
acc_0340,145650.64,Enterprise,113,monthly,1
acc_0341,1115.1,Starter,5,monthly,0
acc_0342,1538.26,Starter,6,monthly,0
acc_0343,99749.56,Enterprise,87,monthly,0
acc_0344,242407.36,Enterprise,185,monthly,1
acc_0345,10598.81,Professional,17,monthly,0
acc_0346,215168.94,Enterprise,183,monthly,0
acc_0347,2065.38,Starter,9,monthly,0
acc_0348,227.29,Starter,1,monthly,1
acc_0349,9947.12,Professional,16,monthly,0
acc_0350,195543.47,Enterprise,151,annual,0
acc_0351,8828.3,Professional,14,monthly,0
acc_0352,9602.62,Professional,15,monthly,1
acc_0353,1267.53,Starter,5,monthly,0
acc_0354,263.0,Starter,1,monthly,0
acc_0355,249850.89,Enterprise,198,monthly,1
acc_0356,452.18,Starter,2,monthly,0
acc_0357,27939.64,Professional,44,annual,1
acc_0358,22567.28,Professional,39,annual,0
acc_0359,13189.92,Professional,20,monthly,0
acc_0360,166197.0,Enterprise,142,monthly,1
acc_0361,27031.36,Professional,47,annual,1
acc_0362,20473.41,Professional,36,monthly,1
acc_0363,495.22,Starter,2,monthly,0
acc_0364,1106.21,Starter,5,monthly,0
acc_0365,19632.82,Professional,30,monthly,0
acc_0366,920.51,Starter,4,annual,0
acc_0367,95524.38,Enterprise,83,monthly,0
acc_0368,12547.14,Professional,23,monthly,0
acc_0369,1366.85,Starter,6,annual,0
acc_0370,1180.56,Starter,5,monthly,0
acc_0371,467.48,Starter,2,monthly,0
acc_0372,25201.55,Professional,44,monthly,0
acc_0373,205968.14,Enterprise,189,monthly,0
acc_0374,21890.65,Professional,38,monthly,1
acc_0375,2280.24,Starter,9,monthly,0
acc_0376,1896.5,Starter,8,annual,1
acc_0377,2069.61,Starter,9,annual,0
acc_0378,19026.98,Professional,33,monthly,0
acc_0379,1455.68,Starter,6,annual,0
acc_0380,1152.55,Starter,5,monthly,1
acc_0381,1231.39,Starter,5,monthly,1
acc_0382,29643.05,Professional,45,monthly,0
acc_0383,22342.59,Professional,41,monthly,0
acc_0384,98603.72,Enterprise,88,monthly,1
acc_0385,8422.39,Professional,15,monthly,0
acc_0386,11279.32,Professional,19,annual,0
acc_0387,435.98,Starter,2,monthly,1
acc_0388,955.68,Starter,4,monthly,0
acc_0389,18892.66,Professional,29,monthly,1
acc_0390,433.11,Starter,2,monthly,1
acc_0391,467.03,Starter,2,monthly,0
acc_0392,2020.18,Starter,8,monthly,0
acc_0393,893.66,Starter,4,monthly,0
acc_0394,878.89,Starter,4,monthly,0
acc_0395,178551.09,Enterprise,145,monthly,1
acc_0396,1515.34,Starter,7,annual,0
acc_0397,1017.94,Starter,4,monthly,0
acc_0398,1972.88,Starter,9,annual,1
acc_0399,17484.75,Professional,29,annual,1
acc_0400,22008.54,Professional,35,monthly,0
acc_0401,2048.55,Starter,9,monthly,0
acc_0402,16572.74,Professional,30,monthly,1
acc_0403,673.29,Starter,3,monthly,0
acc_0404,20561.98,Professional,32,monthly,1
acc_0405,13118.57,Professional,21,monthly,0
acc_0406,12402.98,Professional,22,monthly,0
acc_0407,11892.76,Professional,19,monthly,1
acc_0408,1500.08,Starter,6,monthly,0
acc_0409,10555.63,Professional,16,annual,0
acc_0410,1643.56,Starter,7,monthly,0
acc_0411,70816.07,Enterprise,55,monthly,1
acc_0412,712.29,Starter,3,annual,0
acc_0413,29795.64,Professional,46,annual,0
acc_0414,881.59,Starter,4,monthly,0
acc_0415,224.42,Starter,1,monthly,0
acc_0416,13481.88,Professional,21,monthly,0
acc_0417,21702.75,Professional,34,monthly,1
acc_0418,2075.95,Starter,9,monthly,1
acc_0419,1712.52,Starter,7,monthly,1
acc_0420,6445.16,Professional,11,monthly,1
acc_0421,1515.47,Starter,7,annual,1
acc_0422,26613.49,Professional,49,monthly,0
acc_0423,19127.88,Professional,35,monthly,1
acc_0424,29953.14,Professional,49,annual,1
acc_0425,2064.63,Starter,9,monthly,1
acc_0426,7801.83,Professional,14,monthly,1
acc_0427,1567.05,Starter,6,monthly,0
acc_0428,1774.59,Starter,8,annual,1
acc_0429,10554.92,Professional,17,monthly,0
acc_0430,1294.6,Starter,5,monthly,0
acc_0431,1790.91,Starter,8,annual,0
acc_0432,10183.82,Professional,18,monthly,1
acc_0433,158302.98,Enterprise,130,annual,0
acc_0434,28848.66,Professional,48,annual,0
acc_0435,241.01,Starter,1,monthly,0
acc_0436,727.87,Starter,3,monthly,0
acc_0437,18965.66,Professional,29,annual,0
acc_0438,10929.21,Professional,20,monthly,1
acc_0439,1010.01,Starter,4,annual,0
acc_0440,27827.14,Professional,49,monthly,0
acc_0441,2105.43,Starter,9,monthly,0
acc_0442,1762.29,Starter,8,monthly,1
acc_0443,1899.12,Starter,8,monthly,1
acc_0444,19731.7,Professional,31,monthly,1
acc_0445,441.48,Starter,2,monthly,0
acc_0446,1604.6,Starter,7,monthly,0
acc_0447,701.72,Starter,3,monthly,0
acc_0448,89499.8,Enterprise,81,annual,0
acc_0449,15786.95,Professional,25,annual,1
acc_0450,1522.64,Starter,6,monthly,1
acc_0451,30094.45,Professional,47,monthly,1
acc_0452,976.11,Starter,4,monthly,1
acc_0453,11416.5,Professional,19,monthly,0
acc_0454,19431.21,Professional,34,monthly,0
acc_0455,17321.33,Professional,28,annual,0
acc_0456,1424.03,Starter,6,monthly,1
acc_0457,242902.47,Enterprise,185,annual,0
acc_0458,8530.36,Professional,13,annual,1
acc_0459,254260.85,Enterprise,196,monthly,0
acc_0460,16329.9,Professional,28,monthly,1
acc_0461,67762.18,Enterprise,58,monthly,1
acc_0462,7707.85,Professional,12,monthly,1
acc_0463,1003.99,Starter,4,monthly,1
acc_0464,16237.61,Professional,26,monthly,0
acc_0465,13191.73,Professional,23,monthly,0
acc_0466,142080.41,Enterprise,111,monthly,0
acc_0467,731.44,Starter,3,monthly,1
acc_0468,11278.85,Professional,19,monthly,1
acc_0469,209895.31,Enterprise,163,monthly,0
acc_0470,79873.5,Enterprise,68,monthly,1
acc_0471,494.78,Starter,2,monthly,0
acc_0472,8938.63,Professional,15,annual,0
acc_0473,24445.14,Professional,40,annual,0
acc_0474,871.78,Starter,4,monthly,1
acc_0475,97634.75,Enterprise,82,monthly,0
acc_0476,24271.16,Professional,40,annual,0
acc_0477,10784.27,Professional,18,monthly,0
acc_0478,145021.77,Enterprise,113,monthly,0
acc_0479,461.87,Starter,2,annual,0
acc_0480,96913.38,Enterprise,75,monthly,1
acc_0481,12356.72,Professional,21,monthly,1
acc_0482,62334.32,Enterprise,50,annual,1
acc_0483,19264.24,Professional,35,monthly,0
acc_0484,1579.25,Starter,7,annual,0
acc_0485,6944.74,Professional,11,monthly,0
acc_0486,216.59,Starter,1,monthly,0
acc_0487,8530.9,Professional,13,monthly,0
acc_0488,23077.89,Professional,41,annual,0
acc_0489,23981.79,Professional,37,monthly,0
acc_0490,9028.7,Professional,15,monthly,0
acc_0491,23702.21,Professional,39,annual,1
acc_0492,20353.55,Professional,37,monthly,0
acc_0493,12844.18,Professional,22,monthly,1
acc_0494,140804.06,Enterprise,126,monthly,0
acc_0495,241.24,Starter,1,monthly,0
acc_0496,184250.71,Enterprise,152,annual,0
acc_0497,1250.32,Starter,5,monthly,1
acc_0498,29042.7,Professional,45,monthly,1
acc_0499,11327.45,Professional,19,monthly,0
acc_0500,10792.06,Professional,19,monthly,0
acc_0501,1624.08,Starter,7,monthly,0
acc_0502,256.66,Starter,1,monthly,0
acc_0503,892.01,Starter,4,annual,0
acc_0504,8613.79,Professional,14,annual,0
acc_0505,1083.14,Starter,5,monthly,0
acc_0506,455.58,Starter,2,monthly,1
acc_0507,1710.71,Starter,7,monthly,1
acc_0508,951.63,Starter,4,monthly,0
acc_0509,173775.52,Enterprise,145,monthly,0
acc_0510,23532.16,Professional,38,monthly,0
acc_0511,142037.58,Enterprise,125,monthly,1
acc_0512,25816.35,Professional,45,monthly,1
acc_0513,102030.14,Enterprise,82,annual,0
acc_0514,12696.49,Professional,21,monthly,0
acc_0515,16794.26,Professional,31,monthly,0
acc_0516,29781.09,Professional,48,monthly,1
acc_0517,1966.12,Starter,8,monthly,1
acc_0518,6043.76,Professional,11,annual,1
acc_0519,164982.01,Enterprise,131,monthly,0
acc_0520,13861.0,Professional,23,annual,1
acc_0521,10726.82,Professional,19,monthly,0
acc_0522,143280.97,Enterprise,118,monthly,1
acc_0523,161424.13,Enterprise,132,monthly,1
acc_0524,7804.97,Professional,12,annual,0
acc_0525,195007.77,Enterprise,155,monthly,1
acc_0526,230.49,Starter,1,annual,1
acc_0527,221.67,Starter,1,monthly,0
acc_0528,256.95,Starter,1,monthly,1
acc_0529,10905.98,Professional,17,monthly,0
acc_0530,897.66,Starter,4,monthly,1
acc_0531,218.98,Starter,1,monthly,0
acc_0532,1250.85,Starter,5,annual,0
acc_0533,1504.1,Starter,6,monthly,1
acc_0534,14592.69,Professional,26,monthly,1
acc_0535,1736.52,Starter,7,monthly,1
acc_0536,7455.12,Professional,13,monthly,1
acc_0537,1828.08,Starter,8,monthly,0
acc_0538,1852.61,Starter,8,monthly,0
acc_0539,181939.16,Enterprise,151,annual,0
acc_0540,207510.24,Enterprise,163,monthly,0
acc_0541,17995.12,Professional,30,annual,0
acc_0542,460.61,Starter,2,monthly,1
acc_0543,248093.54,Enterprise,192,monthly,1
acc_0544,21317.82,Professional,39,monthly,0
acc_0545,17798.23,Professional,28,annual,1
acc_0546,15219.02,Professional,24,annual,0
acc_0547,912.68,Starter,4,monthly,0
acc_0548,16350.07,Professional,29,monthly,0
acc_0549,25153.6,Professional,39,monthly,0
acc_0550,11534.23,Professional,19,annual,0
acc_0551,1527.46,Starter,7,annual,0
acc_0552,122910.98,Enterprise,95,monthly,1
acc_0553,2094.77,Starter,9,monthly,0
acc_0554,18593.88,Professional,32,annual,1
acc_0555,2221.9,Starter,9,monthly,0
acc_0556,20438.79,Professional,33,monthly,0
acc_0557,698.88,Starter,3,monthly,1
acc_0558,11701.06,Professional,21,monthly,0
acc_0559,1697.56,Starter,7,annual,1
acc_0560,11070.39,Professional,18,annual,0
acc_0561,1029.16,Starter,4,monthly,0
acc_0562,202168.89,Enterprise,169,monthly,0
acc_0563,119791.8,Enterprise,97,annual,0
acc_0564,13116.7,Professional,24,monthly,1
acc_0565,151478.2,Enterprise,117,monthly,0
acc_0566,2085.36,Starter,9,monthly,0
acc_0567,162588.77,Enterprise,132,monthly,0
acc_0568,1819.79,Starter,7,monthly,1
acc_0569,24216.0,Professional,38,monthly,1
acc_0570,1479.66,Starter,6,monthly,0
acc_0571,167348.03,Enterprise,134,annual,0
acc_0572,17563.73,Professional,27,annual,0
acc_0573,18486.08,Professional,29,annual,0
acc_0574,214614.08,Enterprise,175,monthly,1
acc_0575,6190.44,Professional,10,monthly,0
acc_0576,6692.07,Professional,12,annual,1
acc_0577,2147.11,Starter,9,annual,0
acc_0578,195880.7,Enterprise,170,monthly,1
acc_0579,210693.79,Enterprise,178,monthly,0
acc_0580,85486.81,Enterprise,69,monthly,0
acc_0581,1562.11,Starter,7,monthly,1
acc_0582,1734.67,Starter,8,monthly,0
acc_0583,1175.26,Starter,5,annual,0
acc_0584,925.86,Starter,4,monthly,0
acc_0585,236.18,Starter,1,monthly,1
acc_0586,11079.69,Professional,17,annual,0
acc_0587,248690.34,Enterprise,199,monthly,1
acc_0588,132079.27,Enterprise,114,annual,0
acc_0589,1796.84,Starter,8,monthly,0
acc_0590,1474.12,Starter,6,annual,1
acc_0591,990.25,Starter,4,monthly,1
acc_0592,717.64,Starter,3,annual,0
acc_0593,27145.5,Professional,48,monthly,0
acc_0594,1086.85,Starter,5,monthly,1
acc_0595,219601.64,Enterprise,192,monthly,0
acc_0596,23794.42,Professional,40,monthly,1
acc_0597,10787.39,Professional,17,monthly,0
acc_0598,15418.81,Professional,24,annual,1
acc_0599,18276.12,Professional,31,monthly,1
acc_0600,26056.93,Professional,41,monthly,0
acc_0601,145024.51,Enterprise,110,monthly,1
acc_0602,8763.91,Professional,14,annual,1
acc_0603,160622.56,Enterprise,128,monthly,0
acc_0604,1038.63,Starter,4,annual,1
acc_0605,1625.62,Starter,7,monthly,0
acc_0606,68209.43,Enterprise,63,monthly,1
